Bigeye Mahi BlueShark Skipjack Yellowfin Albacore StripedMarlin Wahoo Swordfish BlueMarlin Lancetfish Opah
1961.04166666667 13.61 22.1 9.645 16.96 18.14 12.46 19.48 22.2 8.607 19.48 8.607 14.03
1961.125 13.59 21.74 9.635 16.92 18.07 12.44 19.37 21.91 8.598 19.37 8.598 14.05
1961.20833333333 13.58 21.72 9.635 16.9 18.05 12.44 19.33 21.99 8.598 19.33 8.598 14.04
1961.29166666667 13.6 21.83 9.639 16.93 18.08 12.45 19.36 22.13 8.601 19.36 8.601 14.04
1961.375 13.62 22.18 9.648 16.98 18.14 12.47 19.44 22.8 8.609 19.44 8.609 14.01
1961.45833333333 13.68 22.66 9.678 17.07 18.25 12.52 19.57 23.79 8.634 19.57 8.634 13.98
1961.54166666667 13.77 23.17 9.729 17.22 18.43 12.59 19.8 24.66 8.678 19.8 8.678 14.01
1961.625 13.87 23.62 9.784 17.38 18.61 12.68 20.03 25.38 8.724 20.03 8.724 14.05
1961.70833333333 13.93 23.85 9.819 17.48 18.73 12.73 20.18 25.58 8.752 20.18 8.752 14.09
1961.79166666667 13.91 23.8 9.803 17.45 18.71 12.71 20.16 25.06 8.738 20.16 8.738 14.09
1961.875 13.81 23.39 9.746 17.3 18.54 12.62 19.97 24.1 8.69 19.97 8.69 14.06
1961.95833333333 13.7 22.75 9.691 17.13 18.33 12.54 19.71 23.06 8.644 19.71 8.644 14.05
1962.04166666667 13.58 22.16 9.623 16.94 18.1 12.43 19.42 22.32 8.587 19.42 8.587 13.99
1962.125 13.51 21.74 9.582 16.82 17.96 12.37 19.23 21.9 8.552 19.23 8.552 13.95
1962.20833333333 13.47 21.63 9.559 16.76 17.89 12.33 19.16 21.83 8.534 19.16 8.534 13.91
1962.29166666667 13.47 21.78 9.558 16.77 17.91 12.33 19.18 22.11 8.534 19.18 8.534 13.88
1962.375 13.52 22.16 9.584 16.87 18.02 12.38 19.32 22.8 8.555 19.32 8.555 13.88
1962.45833333333 13.58 22.62 9.611 16.96 18.13 12.42 19.45 23.73 8.578 19.45 8.578 13.86
1962.54166666667 13.65 23.12 9.65 17.08 18.27 12.48 19.63 24.65 8.61 19.63 8.61 13.86
1962.625 13.78 23.59 9.723 17.28 18.51 12.59 19.92 25.39 8.672 19.92 8.672 13.95
1962.70833333333 13.83 23.86 9.75 17.36 18.6 12.64 20.04 25.66 8.694 20.04 8.694 13.97
1962.79166666667 13.83 23.84 9.749 17.36 18.6 12.63 20.04 25.11 8.693 20.04 8.693 13.99
1962.875 13.76 23.46 9.711 17.24 18.46 12.58 19.87 24.08 8.662 19.87 8.662 14
1962.95833333333 13.7 22.77 9.686 17.14 18.33 12.53 19.7 23.03 8.641 19.7 8.641 14.07
1963.04166666667 13.6 22.11 9.628 16.98 18.14 12.45 19.46 22.24 8.592 19.46 8.592 14.04
1963.125 13.53 21.77 9.587 16.87 18.01 12.38 19.29 22 8.558 19.29 8.558 13.98
1963.20833333333 13.52 21.77 9.578 16.85 17.99 12.37 19.26 22.15 8.551 19.26 8.551 13.95
1963.29166666667 13.53 21.98 9.584 16.9 18.05 12.38 19.35 22.46 8.555 19.35 8.555 13.95
1963.375 13.57 22.36 9.599 16.96 18.13 12.41 19.45 23.07 8.568 19.45 8.568 13.92
1963.45833333333 13.61 22.87 9.621 17.04 18.23 12.44 19.58 24.02 8.586 19.58 8.586 13.88
1963.54166666667 13.68 23.34 9.659 17.15 18.36 12.5 19.75 24.81 8.617 19.75 8.617 13.87
1963.625 13.75 23.78 9.7 17.26 18.5 12.56 19.93 25.46 8.652 19.93 8.652 13.89
1963.70833333333 13.85 24.12 9.758 17.42 18.68 12.65 20.15 25.92 8.701 20.15 8.701 13.96
1963.79166666667 13.85 24.16 9.754 17.42 18.69 12.65 20.17 25.55 8.697 20.17 8.697 13.97
1963.875 13.79 23.86 9.72 17.32 18.57 12.6 20.02 24.66 8.669 20.02 8.669 13.98
1963.95833333333 13.67 23.22 9.657 17.12 18.33 12.5 19.73 23.56 8.617 19.73 8.617 13.96
1964.04166666667 13.6 22.53 9.623 16.99 18.16 12.44 19.5 22.68 8.589 19.5 8.589 13.97
