Year,Sector,region,SAUP,FGroup,Reported,IUU,Discards
1950,industrial,Hawaiian.Longline,840,pelagic30-90cm,12998.4612096036,643.461271039905,156.215580397395
1950,industrial,Hawaiian.Longline,840,pelagic>=90cm,76288.2857784318,2224.86323228993,7213.97804043338
1951,industrial,Hawaiian.Longline,840,pelagic30-90cm,11766.1940287729,503.52722070265,142.418390052873
1951,industrial,Hawaiian.Longline,840,pelagic>=90cm,53280.2886475347,1572.85885610141,3766.46955425106
1952,industrial,Hawaiian.Longline,840,pelagic30-90cm,9407.31952408789,543.968320047363,113.258630044675
1952,industrial,Hawaiian.Longline,840,pelagic>=90cm,56958.2567612243,1684.88298227899,4938.6363487061
1953,industrial,Hawaiian.Longline,840,pelagic30-90cm,3478.85989935417,203.785270159766,41.8264899414025
1953,industrial,Hawaiian.Longline,840,pelagic>=90cm,56420.1694105521,1671.03851951706,3888.25195951497
1954,industrial,Hawaiian.Longline,840,pelagic30-90cm,7361.93044817052,246.892610054201,88.5033200751641
1954,industrial,Hawaiian.Longline,840,pelagic>=90cm,58967.8572471341,1750.13824092008,3723.41584787098
1955,industrial,Hawaiian.Longline,840,pelagic30-90cm,7237.53961294476,270.752689918234,86.9703200025106
1955,industrial,Hawaiian.Longline,840,pelagic>=90cm,49776.9746518971,1474.40624892292,3335.89537212576
1956,industrial,Hawaiian.Longline,840,pelagic30-90cm,15627.0738775583,591.956639556047,187.762929705492
1956,industrial,Hawaiian.Longline,840,pelagic>=90cm,55460.7092500691,1629.45676013793,4052.78277041761
1957,industrial,Hawaiian.Longline,840,pelagic30-90cm,19380.5004113591,704.44103005698,232.816720369301
1957,industrial,Hawaiian.Longline,840,pelagic>=90cm,47822.2660733663,1412.29247956646,3893.23672151337
1958,industrial,Hawaiian.Longline,840,pelagic30-90cm,8263.68034769874,285.358700062592,99.0409499306006
1958,industrial,Hawaiian.Longline,840,pelagic>=90cm,51951.5867416696,1519.73593956129,3857.72319795722
1959,industrial,Hawaiian.Longline,840,pelagic30-90cm,12148.3493372973,467.804130781726,142.078549884453
1959,industrial,Hawaiian.Longline,840,pelagic>=90cm,50751.3192873608,1483.85041943539,3930.19639502562
1960,industrial,Hawaiian.Longline,840,pelagic30-90cm,12624.7577642737,529.54245917944,148.999469935734
1960,industrial,Hawaiian.Longline,840,pelagic>=90cm,61016.0273601282,1803.84558992657,4457.81870149512
1961,industrial,Hawaiian.Longline,840,pelagic30-90cm,14649.6573792614,622.350439404247,174.034570216838
1961,industrial,Hawaiian.Longline,840,pelagic>=90cm,66357.0544657034,1964.60282103091,4611.8927219842
1962,industrial,Hawaiian.Longline,840,pelagic30-90cm,15845.990537309,627.190410633721,189.262739869504
1962,industrial,Hawaiian.Longline,840,pelagic>=90cm,52085.4144596351,1529.46034050495,4134.76583888413
1963,industrial,Hawaiian.Longline,840,pelagic<30cm,0.297569990158081,0.0211999993771315,0.00356999994255602
1963,industrial,Hawaiian.Longline,840,pelagic30-90cm,12998.1896711532,545.371060188059,155.091870035256
1963,industrial,Hawaiian.Longline,840,pelagic>=90cm,56579.0199910606,1653.32160056394,4678.31482846924
1964,industrial,Hawaiian.Longline,840,pelagic<30cm,0.0244600009173155,0.00173999997787178,0.00028999999631196
1964,industrial,Hawaiian.Longline,840,pelagic30-90cm,9544.40171258361,442.396980286401,113.103349973117
1964,industrial,Hawaiian.Longline,840,pelagic>=90cm,56884.1212843753,1674.56401982812,4500.08673419687
1965,industrial,Hawaiian.Longline,840,pelagic<30cm,0.281729996204376,0.0200699996203184,0.00337999989278615
1965,industrial,Hawaiian.Longline,840,pelagic30-90cm,3805.32967565977,234.108969591583,44.7156200299432
1965,industrial,Hawaiian.Longline,840,pelagic>=90cm,57320.4321017177,1670.45613024334,4252.05182615011
1966,industrial,Hawaiian.Longline,840,pelagic<30cm,0.289330005645752,0.020609999075532,0.00347000011242926
1966,industrial,Hawaiian.Longline,840,pelagic30-90cm,2488.7998876191,152.942290246967,29.2236800289938
1966,industrial,Hawaiian.Longline,840,pelagic>=90cm,51375.5946160777,1488.59946033038,4174.60858302307
1967,industrial,Hawaiian.Longline,840,pelagic<30cm,0.276789993047714,0.0197199992835522,0.00331999990157783
1967,industrial,Hawaiian.Longline,840,pelagic30-90cm,1365.07156959501,111.263100080716,15.9166400423273
1967,industrial,Hawaiian.Longline,840,pelagic>=90cm,60524.2481786383,1751.43139042073,4382.7702610137
1968,industrial,Hawaiian.Longline,840,pelagic<30cm,0.120489999651909,0.00858000013977289,0.00144999998155981
1968,industrial,Hawaiian.Longline,840,pelagic30-90cm,1652.40538047269,108.588830280572,19.4128300291777
1968,industrial,Hawaiian.Longline,840,pelagic>=90cm,42865.401038117,1239.58606905116,2769.50889627405
1969,industrial,Hawaiian.Longline,840,pelagic<30cm,0.0709799975156784,0.00505999987944961,0.000850000011269
1969,industrial,Hawaiian.Longline,840,pelagic30-90cm,1556.14895173454,112.741599736219,17.685949993087
