Country_name,SAUP,ISO3,Region
Australia,36,AUS,AustraliaNZ
Christmas_Island_(Australia),162,CXR,AustraliaNZ
New_Zealand,554,NZL,AustraliaNZ
Norfolk_Island,574,NFK,AustraliaNZ
Antigua_and_Barbuda,28,ATG,Caribbean
Bahamas,44,BHS,Caribbean
Barbados,52,BRB,Caribbean
British_Virgin_Islands,92,VGB,Caribbean
Cayman_Islands,136,CYM,Caribbean
Cuba,192,CUB,Caribbean
Dominica,212,DMA,Caribbean
Dominican_Republic,214,DOM,Caribbean
Grenada,308,GRD,Caribbean
Guadeloupe,312,GLP,Caribbean
Haiti,332,HTI,Caribbean
Jamaica,388,JAM,Caribbean
Martinique,474,MTQ,Caribbean
Montserrat,500,MSR,Caribbean
Netherlands_Antilles,532,ANT,Caribbean
Aruba,533,ABW,Caribbean
Curacao,534,CUW,Caribbean
Puerto_Rico,630,PRI,Caribbean
Saint_Kitts_and_Nevis,659,KNA,Caribbean
Anguilla,660,AIA,Caribbean
Saint_Lucia,662,LCA,Caribbean
Saint_Vincent_and_the_Grenadines,670,VCT,Caribbean
Trinidad_and_Tobago,780,TTO,Caribbean
Turks_and_Caicos_Is,796,TCA,Caribbean
US_Virgin_Islands,850,VIR,Caribbean
St_Martin,904,MAF,Caribbean
St_Barthelemy,905,BLM,Caribbean
Belize,84,BLZ,LatinAmerica
Costa_Rica,188,CRI,LatinAmerica
El_Salvador,222,SLV,LatinAmerica
Guatemala,320,GTM,LatinAmerica
Honduras,340,HND,LatinAmerica
Nicaragua,558,NIC,LatinAmerica
Panama,591,PAN,LatinAmerica
China,156,CHN,NorthEastAsia
Taiwan,157,TWN,NorthEastAsia
Hong_Kong,344,HKG,NorthEastAsia
Macau,446,MAC,NorthEastAsia
Albania,8,ALB,Europe
Belgium,56,BEL,Europe
Bosnia_and_Herzegovina,70,BIH,Europe
Bulgaria,100,BGR,Europe
Croatia,191,HRV,Europe
Cyprus,196,CYP,Europe
Denmark,208,DNK,Europe
Estonia,233,EST,Europe
Faroe_Islands,234,FRO,Europe
Finland,246,FIN,Europe
France,250,FRA,Europe
Georgia,268,GEO,Europe
Germany,276,DEU,Europe
Gibraltar,292,GIB,Europe
Greece,300,GRC,Europe
Greenland,304,GRL,Europe
Iceland,352,ISL,Europe
Ireland,372,IRL,Europe
Italy,380,ITA,Europe
Latvia,428,LVA,Europe
Lithuania,440,LTU,Europe
Malta,470,MLT,Europe
Monaco,492,MCO,Europe
Netherlands,528,NLD,Europe
Norway,578,NOR,Europe
Poland,616,POL,Europe
Portugal,620,PRT,Europe
Madeira,621,RAM,Europe
Acores,622,RAA,Europe
Romania,642,ROU,Europe
Russian_Federation,643,RUS,Europe
Slovenia,705,SVN,Europe
Spain,724,ESP,Europe
Svalbard_and_Jan_Mayen,744,SJM,Europe
Sweden,752,SWE,Europe
Ukraine,804,UKR,Europe
USSR,810,SUN,Europe
United_Kingdom,826,GBR,Europe
Channel_Islands,830,,Europe
Isle_of_Man,833,IMN,Europe
Yugoslavia_SFR,890,YUG,Europe
Montenegro,892,MNE,Europe
EEC,900,,Europe
Bangladesh,50,BGD,IndianP
