,Bigeye,Mahi,BlueShark,Skipjack,Yellowfin,Albacore,StripedMarlin,Wahoo,Swordfish,BlueMarlin,Lancetfish,Opah
Bigeye,1,0.17,0.51020408,0.6,0.5,0.83333333,0.4,0.04,0.41666667,0.4,0.41666667,0.7
Mahi,0.17,1,0.08673469,0.28333333,0.34,0.14166667,0.425,0.23529412,0.07083333,0.425,0.07083333,0.04117647
BlueShark,0.5102041,0.08673469,1,0.30612245,0.255102,0.6122449,0.2040816,0.02040816,0.81666667,0.2040816,0.81666667,0.35714286
Skipjack,0.6,0.28333333,0.30612245,1,0.8333333,0.5,0.6666667,0.06666667,0.25,0.6666667,0.25,0.5952381
Yellowfin,0.5,0.34,0.25510204,0.83333333,1,0.41666667,0.8,0.08,0.20833333,0.8,0.20833333,0.45714286
Albacore,0.8333333,0.14166667,0.6122449,0.5,0.4166667,1,0.3333333,0.03333333,0.5,0.3333333,0.5,0.58333333
StripedMarlin,0.4,0.425,0.20408163,0.66666667,0.8,0.33333333,1,0.1,0.16666667,1,0.16666667,0.32142857
Wahoo,0.04,0.23529412,0.02040816,0.06666667,0.08,0.03333333,0.1,1,0.01666667,0.1,0.01666667,0
Swordfish,0.4166667,0.07083333,0.81666667,0.25,0.2083333,0.5,0.1666667,0.01666667,1,0.1666667,1,0.29166667
BlueMarlin,0.4,0.425,0.20408163,0.66666667,0.8,0.33333333,1,0.1,0.16666667,1,0.16666667,0.32142857
Lancetfish,0.4166667,0.07083333,0.81666667,0.25,0.2083333,0.5,0.1666667,0.01666667,1,0.1666667,1,0.29166667
Opah,0.7,0.04117647,0.35714286,0.5952381,0.4571429,0.58333333,0.3214286,0,0.29166667,0.3214286,0.29166667,1
