species,w_inf,w_mat,beta,sigma,k_vb,w_min,r_max,temp_min,temp_max
Bigeye,95200,29000,100,1,0.354,0.001,3.40E+04,3,29
Mahi,29800,1024,100,1,1.2991,0.001,1.94E+05,21,30
BlueShark,182139,38880,400,1,0.132,353,1.29E+04,5,23
Skipjack,13122,1200,100,1,0.7,0.001,6.65E+05,10,33
Yellowfin,93400,28480,100,1,0.724,0.001,3.50E+04,7,31
Albacore,37200,15220,100,1,0.2483,0.001,1.39E+05,7,25
StripedMarlin,68000,59400,100,1,0.24,0.001,5.64E+04,11,30
Wahoo,43200,7030,100,1,1.58,0.001,1.11E+05,22,28
Swordfish,182138,33699,100,1,0.2585,0.001,1.29E+04,2,30
BlueMarlin,455400,77560,100,1,0.26,0.001,3.25E+03,17,31
Lancetfish,8273,109,100,1,0.235,0.001,1.33E+06,2,30
Opah,89000,20050,100,1,0.218,0.001,3.77E+04,8,22
