Months.Since.1Jan1840,Year.Month.Day,bp30to90cm.gm-2
1451,1961-01-01,9.651582174766285e-4
1452,1961-02-01,9.651582425321812e-4
1453,1961-03-01,9.759513804080628e-4
1454,1961-04-01,9.881732197919463e-4
1455,1961-05-01,9.926471387250188e-4
1456,1961-06-01,9.90140667303808e-4
1457,1961-07-01,9.847494515738333e-4
1458,1961-08-01,9.791465106774578e-4
1459,1961-09-01,9.742392809346041e-4
1460,1961-10-01,9.687136201584732e-4
1461,1961-11-01,9.630716282756817e-4
1462,1961-12-01,9.577540607061805e-4
1463,1962-01-01,9.569117515876466e-4
1464,1962-02-01,0.001025379987304005
1465,1962-03-01,0.0010896771673473038
1466,1962-04-01,0.0011432608544946245
1467,1962-05-01,0.0011827803878577887
1468,1962-06-01,0.0012054709603019102
1469,1962-07-01,0.0012166908474391062
1470,1962-08-01,0.0012232278123292617
1471,1962-09-01,0.0012277168818827034
1472,1962-10-01,0.0012280810468122167
1473,1962-11-01,0.0012267549742244323
1474,1962-12-01,0.0012254465532664052
1475,1963-01-01,0.0012282240219845103
1476,1963-02-01,0.0012037678947869718
1477,1963-03-01,0.001191831628145959
1478,1963-04-01,0.001187519314688542
1479,1963-05-01,0.0011780605087537278
1480,1963-06-01,0.0011652892933828325
1481,1963-07-01,0.0011517594531036998
1482,1963-08-01,0.0011403853377795173
1483,1963-09-01,0.0011315548391513898
1484,1963-10-01,0.0011221773049822018
1485,1963-11-01,0.0011123468093046979
1486,1963-12-01,0.0011045993164650574
1487,1964-01-01,0.0011012983331147152
1488,1964-02-01,0.0011036092039748647
1489,1964-03-01,0.0011140419372364702
1490,1964-04-01,0.0011255266740237892
1491,1964-05-01,0.0011290024572785408
1492,1964-06-01,0.0011264960431142646
1493,1964-07-01,0.001120754759316727
1494,1964-08-01,0.0011151979450668402
1495,1964-09-01,0.0011089705259989542
1496,1964-10-01,0.0011026474702080945
1497,1964-11-01,0.0010984657787020805
1498,1964-12-01,0.0010953443654465836
1499,1965-01-01,0.0010938190425669788
1500,1965-02-01,0.001096416344055057
1501,1965-03-01,0.0011072179489998747
1502,1965-04-01,0.0011206467230616475
1503,1965-05-01,0.0011257162298574507
1504,1965-06-01,0.0011221048962049658
1505,1965-07-01,0.0011168879506495265
1506,1965-08-01,0.0011116450002840444
1507,1965-09-01,0.0011052875017806567
1508,1965-10-01,0.0010960359271184358
1509,1965-11-01,0.0010883494977117847
1510,1965-12-01,0.0010819617170900124
1511,1966-01-01,0.001080575057656416
1512,1966-02-01,0.0010197496146368069
1513,1966-03-01,9.829439840707132e-4
1514,1966-04-01,9.59305938665129e-4
1515,1966-05-01,9.380837625278234e-4
1516,1966-06-01,9.157903230786367e-4
1517,1966-07-01,8.979433654047307e-4
1518,1966-08-01,8.850192402585827e-4
1519,1966-09-01,8.755633845853747e-4
1520,1966-10-01,8.677543229202866e-4
