Months.Since.1Jan1840,Year.Month.Day,cp30to90cm.gm-2
1451,1961-01-01,3.17536843980753e-4
1452,1961-02-01,3.175368527199893e-4
1453,1961-03-01,3.216749094277914e-4
1454,1961-04-01,3.2657008135904595e-4
1455,1961-05-01,3.2841017664436223e-4
1456,1961-06-01,3.275151405110153e-4
1457,1961-07-01,3.254676751090923e-4
1458,1961-08-01,3.233221804219128e-4
1459,1961-09-01,3.214317643139721e-4
1460,1961-10-01,3.1929510309452905e-4
1461,1961-11-01,3.1707962942297636e-4
1462,1961-12-01,3.1495809850801674e-4
1463,1962-01-01,2.478575009398453e-4
1464,1962-02-01,2.6667012120316376e-4
1465,1962-03-01,2.8469606176527565e-4
1466,1962-04-01,2.9983244245604173e-4
1467,1962-05-01,3.1095935744938284e-4
1468,1962-06-01,3.1720603109196185e-4
1469,1962-07-01,3.2011300393914015e-4
1470,1962-08-01,3.2172818635272624e-4
1471,1962-09-01,3.2283044899908593e-4
1472,1962-10-01,3.2275727045678296e-4
1473,1962-11-01,3.221952601212657e-4
1474,1962-12-01,3.2166838341246996e-4
1475,1963-01-01,3.576714055226312e-4
1476,1963-02-01,3.5039667674458105e-4
1477,1963-03-01,3.471258499386216e-4
1478,1963-04-01,3.463199873678274e-4
1479,1963-05-01,3.436239714097805e-4
1480,1963-06-01,3.3965077788233346e-4
1481,1963-07-01,3.3533372705383537e-4
1482,1963-08-01,3.3167204727447446e-4
1483,1963-09-01,3.2881855352075395e-4
1484,1963-10-01,3.25749189822871e-4
1485,1963-11-01,3.224694347240038e-4
1486,1963-12-01,3.1984390477341227e-4
1487,1964-01-01,3.2372842270677124e-4
1488,1964-02-01,3.2461187502352704e-4
1489,1964-03-01,3.2835110324774206e-4
1490,1964-04-01,3.324581912973084e-4
1491,1964-05-01,3.337863201062551e-4
1492,1964-06-01,3.330116260072751e-4
1493,1964-07-01,3.311124179420978e-4
1494,1964-08-01,3.292597261294372e-4
1495,1964-09-01,3.2717347258306306e-4
1496,1964-10-01,3.250243702097949e-4
1497,1964-11-01,3.2358896223514403e-4
1498,1964-12-01,0.00032251519311436223
1499,1965-01-01,3.217795355346055e-4
1500,1965-02-01,3.226074230746738e-4
1501,1965-03-01,3.2627406024046825e-4
1502,1965-04-01,3.309367283276352e-4
1503,1965-05-01,3.3275032309679946e-4
1504,1965-06-01,3.315353113237169e-4
1505,1965-07-01,3.2974951248531385e-4
1506,1965-08-01,3.2797358854025935e-4
1507,1965-09-01,3.2580685536936084e-4
1508,1965-10-01,3.2263498999270297e-4
1509,1965-11-01,3.1994321926614056e-4
1510,1965-12-01,3.177135103378652e-4
1511,1966-01-01,3.9648359489993166e-4
1512,1966-02-01,3.733839359449084e-4
1513,1966-03-01,3.598284128571698e-4
1514,1966-04-01,3.5137640712475804e-4
1515,1966-05-01,3.434607270044777e-4
1516,1966-06-01,3.3468417487651986e-4
1517,1966-07-01,3.2749797485182627e-4
1518,1966-08-01,3.2227054637949594e-4
1519,1966-09-01,3.184027528961801e-4
1520,1966-10-01,3.1515067362084074e-4
1521,1966-11-01,3.1330935624474465e-4
1522,1966-12-01,3.114464399984923e-4
1523,1967-01-01,2.7597660935419285e-4
1524,1967-02-01,2.891067945509016e-4
1525,1967-03-01,3.019478127129538e-4
1526,1967-04-01,3.1176474277252406e-4
1527,1967-05-01,3.174217187152811e-4
1528,1967-06-01,3.195103837434865e-4
1529,1967-07-01,3.1891802691616663e-4
1530,1967-08-01,3.1709018853892234e-4
1531,1967-09-01,3.157077636411116e-4
1532,1967-10-01,3.144222344730254e-4
1533,1967-11-01,3.131906488683161e-4
1534,1967-12-01,3.1241388195809997e-4
1535,1968-01-01,2.4557323659890357e-4
1536,1968-02-01,2.6375341032109484e-4
1537,1968-03-01,2.8221971933431553e-4
1538,1968-04-01,2.989099339095115e-4
1539,1968-05-01,3.1039701838597933e-4
1540,1968-06-01,3.1599992610028876e-4
1541,1968-07-01,3.1853863664416793e-4
1542,1968-08-01,3.198735806478322e-4
1543,1968-09-01,3.204014875064033e-4
1544,1968-10-01,3.199460013430356e-4
1545,1968-11-01,3.19199322971424e-4
1546,1968-12-01,3.189871091230272e-4
1547,1969-01-01,3.148181221841347e-4
