Months.Since.1Jan1840,Year.Month.Day,cp90cm.gm-2
1451,1961-01-01,0.0012180422454836257
1452,1961-02-01,0.0012180422838313084
1453,1961-03-01,0.0011830480123464166
1454,1961-04-01,0.0011773580732695839
1455,1961-05-01,0.0012077718606603228
1456,1961-06-01,0.001288554284101201
1457,1961-07-01,0.001321052175120141
1458,1961-08-01,0.0013266314995325876
1459,1961-09-01,0.0013224454052942931
1460,1961-10-01,0.0013121636090831325
1461,1961-11-01,0.0012981726311672255
1462,1961-12-01,0.0012792131873988974
1463,1962-01-01,9.91822890072621e-4
1464,1962-02-01,0.0010379703646692063
1465,1962-03-01,0.0010599381097975951
1466,1962-04-01,0.0010937631401893553
1467,1962-05-01,0.00114864913394888
1468,1962-06-01,0.0012456869620232414
1469,1962-07-01,0.0013007696117502963
1470,1962-08-01,0.0013288318836673736
1471,1962-09-01,0.0013438597414666147
1472,1962-10-01,0.0013480442152571095
1473,1962-11-01,0.0013459141481180876
1474,1962-12-01,0.001338180368043426
1475,1963-01-01,0.0014720888195747257
1476,1963-02-01,0.001402140215990377
1477,1963-03-01,0.0013336467575115042
1478,1963-04-01,0.001329942331213934
1479,1963-05-01,0.0013700016342779798
1480,1963-06-01,0.0013959254228702728
1481,1963-07-01,0.0013987996292657986
1482,1963-08-01,0.0013903702386475082
1483,1963-09-01,0.0013787945977514471
1484,1963-10-01,0.0013630667917358507
1485,1963-11-01,0.001344217687890379
1486,1963-12-01,0.0013241331603045527
1487,1964-01-01,0.0013249425191763312
1488,1964-02-01,0.0013058501908940832
1489,1964-03-01,0.0012966904706774175
1490,1964-04-01,0.0013077609346188864
1491,1964-05-01,0.001337565859335961
1492,1964-06-01,0.0013759470826930937
1493,1964-07-01,0.0013903572349667714
1494,1964-08-01,0.0013887896576812225
1495,1964-09-01,0.0013792748993919322
1496,1964-10-01,0.0013660760446624134
1497,1964-11-01,0.0013531044235719984
1498,1964-12-01,0.001336862582976725
1499,1965-01-01,0.0013178324446089856
1500,1965-02-01,0.0012937666912589106
1501,1965-03-01,0.0012474227190927799
1502,1965-04-01,0.0012288689235133228
1503,1965-05-01,0.001254214776255363
1504,1965-06-01,0.0013068346778930115
1505,1965-07-01,0.0013365123817102404
1506,1965-08-01,0.001347378507479952
1507,1965-09-01,0.001346537164722311
1508,1965-10-01,0.001335254262652541
1509,1965-11-01,0.0013207222575770464
1510,1965-12-01,0.0013027416553707983
1511,1966-01-01,0.0016037840110958725
1512,1966-02-01,0.0014758794135818596
1513,1966-03-01,0.0013523991639877487
1514,1966-04-01,0.0012912676870602306
1515,1966-05-01,0.001316903630672484
1516,1966-06-01,0.0013466249612461394
1517,1966-07-01,0.0013409567326845438
1518,1966-08-01,0.0013229736617056224
1519,1966-09-01,0.0013032623201537155
1520,1966-10-01,0.0012839948955658052
1521,1966-11-01,0.0012692037323559229
1522,1966-12-01,0.0012514278023755027
1523,1967-01-01,0.0010936986556682883
1524,1967-02-01,0.0011098396745929076
1525,1967-03-01,0.00110526709895429
1526,1967-04-01,0.0011152639537283563
1527,1967-05-01,0.0012066077253954496
1528,1967-06-01,0.0012798021064106314
1529,1967-07-01,0.0013036233656126975
1530,1967-08-01,0.0013033838872725733
1531,1967-09-01,0.0012964354428128381
1532,1967-10-01,0.0012868533370059237
1533,1967-11-01,0.0012766328084825502
1534,1967-12-01,0.0012647803536861594
1535,1968-01-01,9.81604499747058e-4
1536,1968-02-01,0.001031428884864233
1537,1968-03-01,0.0010781859147203786
1538,1968-04-01,0.0011234711684665255
1539,1968-05-01,0.0012399324756434112
1540,1968-06-01,0.0013139977000559543
1541,1968-07-01,0.001346394340163354
1542,1968-08-01,0.001358543773972767
1543,1968-09-01,0.0013601768569459468
1544,1968-10-01,0.001354388916038592
1545,1968-11-01,0.0013456181857285819
1546,1968-12-01,0.0013354757139792596
1547,1969-01-01,0.0013039323891893726
1548,1969-02-01,0.0012907881322754054
1549,1969-03-01,0.0012934981013205775
1550,1969-04-01,0.0012964449394333045
1551,1969-05-01,0.0013495924606075737
1552,1969-06-01,0.0013979904649527393
1553,1969-07-01,0.0014143053163823307
1554,1969-08-01,0.001415266611152459
1555,1969-09-01,0.0014095398566872541
1556,1969-10-01,0.0013994961748365032
1557,1969-11-01,0.0013853613201391989
1558,1969-12-01,0.0013687474741722765
1559,1970-01-01,0.001098720044517082
1560,1970-02-01,0.0011249157366983783
1561,1970-03-01,0.001136533155878315
1562,1970-04-01,0.001164820626302193
1563,1970-05-01,0.001222098412224002
1564,1970-06-01,0.0013009140103138065
1565,1970-07-01,0.0013531923136549248
1566,1970-08-01,0.0013843825659431638
1567,1970-09-01,0.0014034035774449082
1568,1970-10-01,0.0014137761421812018
1569,1970-11-01,0.0014171217842389968
1570,1970-12-01,0.0014137554012057336
1571,1971-01-01,0.0015370700414777034
1572,1971-02-01,0.0014601651903152386
1573,1971-03-01,0.001395864895134686
1574,1971-04-01,0.0013583403763241255
1575,1971-05-01,0.0013425970775718193
1576,1971-06-01,0.00138324012857577
1577,1971-07-01,0.0014126376920277023
1578,1971-08-01,0.001424545625337005
1579,1971-09-01,0.0014266234871665349
1580,1971-10-01,0.0014227376231904425
1581,1971-11-01,0.0014154370625717452
1582,1971-12-01,0.001402732719084046
1583,1972-01-01,7.574281693935465e-4
1584,1972-02-01,8.089912380942092e-4
1585,1972-03-01,8.637185845063218e-4
1586,1972-04-01,9.264472105923615e-4
1587,1972-05-01,0.0010130963830395317
1588,1972-06-01,0.0011058441746308835
