Months.Since.1Jan1840,Year.Month.Day,tc.gm-2
1451,1961-01-01,0.0015355790894643789
1452,1961-02-01,0.0015355791365512976
1453,1961-03-01,0.001504722921774208
1454,1961-04-01,0.0015039281546286299
1455,1961-05-01,0.001536182037304685
1456,1961-06-01,0.0016160694246122164
1457,1961-07-01,0.0016465198502292333
1458,1961-08-01,0.0016499536799545005
1459,1961-09-01,0.0016438771696082651
1460,1961-10-01,0.0016314587121776616
1461,1961-11-01,0.0016152522605902017
1462,1961-12-01,0.0015941712859069142
1463,1962-01-01,0.0012396803910124663
1464,1962-02-01,0.00130464048587237
1465,1962-03-01,0.0013446341715628708
1466,1962-04-01,0.001393595582645397
1467,1962-05-01,0.0014596084913982628
1468,1962-06-01,0.0015628929931152031
1469,1962-07-01,0.0016208826156894364
1470,1962-08-01,0.0016505600700200999
1471,1962-09-01,0.0016666901904657007
1472,1962-10-01,0.0016708014857138925
1473,1962-11-01,0.0016681094082393532
1474,1962-12-01,0.001659848751455896
1475,1963-01-01,0.001829760225097357
1476,1963-02-01,0.0017525368927349579
1477,1963-03-01,0.0016807726074501257
1478,1963-04-01,0.0016762623185817616
1479,1963-05-01,0.0017136256056877602
1480,1963-06-01,0.0017355762007526061
1481,1963-07-01,0.0017341333563196339
1482,1963-08-01,0.0017220422859219825
1483,1963-09-01,0.001707613151272201
1484,1963-10-01,0.0016888159815587216
1485,1963-11-01,0.0016666871226143827
1486,1963-12-01,0.001643977065077965
1487,1964-01-01,0.0016486709418831026
1488,1964-02-01,0.0016304620659176102
1489,1964-03-01,0.0016250415739251594
1490,1964-04-01,0.0016402191259161948
1491,1964-05-01,0.0016713521794422162
1492,1964-06-01,0.0017089587087003688
1493,1964-07-01,0.0017214696529088691
1494,1964-08-01,0.0017180493838106598
1495,1964-09-01,0.0017064483719749952
1496,1964-10-01,0.0016911004148722083
1497,1964-11-01,0.0016766933858071422
1498,1964-12-01,0.0016593777760910873
1499,1965-01-01,0.001639611980143591
1500,1965-02-01,0.0016163741143335843
1501,1965-03-01,0.001573696779333248
1502,1965-04-01,0.001559805651840958
1503,1965-05-01,0.0015869650993521624
1504,1965-06-01,0.0016383699892167285
1505,1965-07-01,0.0016662618941955542
1506,1965-08-01,0.0016753520960202113
1507,1965-09-01,0.001672344020091672
1508,1965-10-01,0.0016578892526452438
1509,1965-11-01,0.0016406654768431868
1510,1965-12-01,0.0016204551657086634
1511,1966-01-01,0.0020002676059958043
1512,1966-02-01,0.0018492633495267679
1513,1966-03-01,0.0017122275768449184
1514,1966-04-01,0.0016426440941849885
1515,1966-05-01,0.0016603643576769615
1516,1966-06-01,0.0016813091361226591
1517,1966-07-01,0.00166845470753637
1518,1966-08-01,0.0016452442080851183
1519,1966-09-01,0.0016216650730498956
1520,1966-10-01,0.001599145569186646
1521,1966-11-01,0.0015825130886006676
1522,1966-12-01,0.001562874242373995
1523,1967-01-01,0.001369675265022481
1524,1967-02-01,0.0013989464691438092
1525,1967-03-01,0.0014072149116672438
1526,1967-04-01,0.0014270286965008805
1527,1967-05-01,0.0015240294441107307
1528,1967-06-01,0.001599312490154118
1529,1967-07-01,0.0016225413925288641
1530,1967-08-01,0.0016204740758114958
1531,1967-09-01,0.0016121432064539495
1532,1967-10-01,0.0016012755714789491
1533,1967-11-01,0.0015898234573508664
1534,1967-12-01,0.0015771942356442594
1535,1968-01-01,0.0012271777363459615
1536,1968-02-01,0.0012951822951853278
1537,1968-03-01,0.0013604056340546942
1538,1968-04-01,0.001422381102376037
1539,1968-05-01,0.0015503294940293906
1540,1968-06-01,0.0016299976261562432
1541,1968-07-01,0.0016649329768075218
1542,1968-08-01,0.0016784173546205994
1543,1968-09-01,0.0016805783444523502
1544,1968-10-01,0.0016743349173816277
1545,1968-11-01,0.0016648175087000058
1546,1968-12-01,0.0016544628231022868
1547,1969-01-01,0.0016187505113735073
1548,1969-02-01,0.0016082392934590108
1549,1969-03-01,0.0016172347979962849
1550,1969-04-01,0.0016259258657955655
1551,1969-05-01,0.0016825422340380604
1552,1969-06-01,0.0017312453951374071
1553,1969-07-01,0.0017463609735633493
1554,1969-08-01,0.0017460002732441549
1555,1969-09-01,0.0017390454154275516
1556,1969-10-01,0.0017274769826443497
1557,1969-11-01,0.0017113692900989816
1558,1969-12-01,0.0016931822778825246
1559,1970-01-01,0.0013630165292089378
1560,1970-02-01,0.001402901575061669
1561,1970-03-01,0.0014284130897861365
1562,1970-04-01,0.0014701229272351794
1563,1970-05-01,0.0015369225554756065
1564,1970-06-01,0.0016212425180946537
1565,1970-07-01,0.0016771499118113848
1566,1970-08-01,0.0017107862176646816
1567,1970-09-01,0.0017314682294298327
1568,1970-10-01,0.0017427116817897593
1569,1970-11-01,0.0017462569813390678
1570,1970-12-01,0.0017428082793718995
1571,1971-01-01,0.0018976406781267422
1572,1971-02-01,0.001814147449820449
1573,1971-03-01,0.0017469363035164966
1574,1971-04-01,0.0017091855744054778
1575,1971-05-01,0.0016924891793675067
1576,1971-06-01,0.001730202934361295
1577,1971-07-01,0.0017564620166471675
1578,1971-08-01,0.0017654965996446704
1579,1971-09-01,0.001764914071814955
1580,1971-10-01,0.0017584447003838636
1581,1971-11-01,0.001748965880865721
1582,1971-12-01,0.0017342820478421503
1583,1972-01-01,9.383172800313224e-4
1584,1972-02-01,0.0010092333873025644
1585,1972-03-01,0.0010836940848042665
1586,1972-04-01,0.0011646740972710244
1587,1972-05-01,0.0012667453217166272
1588,1972-06-01,0.0013715087677653784
1589,1972-07-01,0.0014501935608840963
1590,1972-08-01,0.0015105692992659517
1591,1972-09-01,0.001558556337497963
1592,1972-10-01,0.001594548607877249
1593,1972-11-01,0.0016180070593552573
1594,1972-12-01,0.0016349412634526605
1595,1973-01-01,0.0015438109699515983
1596,1973-02-01,0.00156397508951275
1597,1973-03-01,0.0015776328545437429
1598,1973-04-01,0.0016035206197511551
1599,1973-05-01,0.0016358193797264438
1600,1973-06-01,0.0016979200022626208
1601,1973-07-01,0.001741186422884277
1602,1973-08-01,0.001769808775632035
1603,1973-09-01,0.0017896075991093187
1604,1973-10-01,0.0018024324257235492
1605,1973-11-01,0.0018094203325077804
1606,1973-12-01,0.0018109378415872314
1607,1974-01-01,0.002707007112583588
1608,1974-02-01,0.002534306632006875
1609,1974-03-01,0.002373657800131239
1610,1974-04-01,0.0022455205282249356
1611,1974-05-01,0.0021728332949668967
1612,1974-06-01,0.0021323485882454047
1613,1974-07-01,0.0020889677832308592
1614,1974-08-01,0.002045071434884002
1615,1974-09-01,0.002005494723042644
1616,1974-10-01,0.00196659207519226
1617,1974-11-01,0.0019312754710085532
1618,1974-12-01,0.0019009892859187495
1619,1975-01-01,0.0018640374651190945
1620,1975-02-01,0.0018312235900884218
1621,1975-03-01,0.0017873217699826108
1622,1975-04-01,0.0017631919106203724
1623,1975-05-01,0.001748465046382937
1624,1975-06-01,0.0017731139479931185
1625,1975-07-01,0.0017973725684792851
1626,1975-08-01,0.0018106530376045225
1627,1975-09-01,0.0018186183203287504
1628,1975-10-01,0.0018199956024554337
1629,1975-11-01,0.0018168272835697929
1630,1975-12-01,0.0018085744217866508
1631,1976-01-01,0.0020240106621293324
1632,1976-02-01,0.0019441107147900646
1633,1976-03-01,0.0018700901370000346
1634,1976-04-01,0.001821124057633524
1635,1976-05-01,0.0017973910088979268
1636,1976-06-01,0.0018347509682121457
1637,1976-07-01,0.0018510326677364194
1638,1976-08-01,0.0018493773846015656
1639,1976-09-01,0.0018418589327586564
1640,1976-10-01,0.0018279857476306647
1641,1976-11-01,0.0018090452589748097
1642,1976-12-01,0.001791879798357675
1643,1977-01-01,0.0015231828049180652
1644,1977-02-01,0.0015482550061017475
1645,1977-03-01,0.0015583573053539596
1646,1977-04-01,0.0015799276888568657
1647,1977-05-01,0.0016051572209451236
1648,1977-06-01,0.0016613917105716758
1649,1977-07-01,0.001705941869931621
1650,1977-08-01,0.0017365249877989701
1651,1977-09-01,0.0017563648567497845
1652,1977-10-01,0.0017663120674109587
1653,1977-11-01,0.0017686059502583674
1654,1977-12-01,0.0017686802991110113
1655,1978-01-01,0.0023210251420008915
1656,1978-02-01,0.002189494124642017
1657,1978-03-01,0.002074103295715295
1658,1978-04-01,0.0019809383652960697
1659,1978-05-01,0.0019623631402511414
1660,1978-06-01,0.001953935349833816
1661,1978-07-01,0.0019327646122499567
1662,1978-08-01,0.001905415950285255
1663,1978-09-01,0.0018779043088669584
1664,1978-10-01,0.0018488360145556785
1665,1978-11-01,0.0018212178620636288
1666,1978-12-01,0.0017940519269854414
1667,1979-01-01,0.0017127924703665826
1668,1979-02-01,0.0016856865152128561
1669,1979-03-01,0.001658078651110495
1670,1979-04-01,0.001649856833577473
1671,1979-05-01,0.0016701051308336272
1672,1979-06-01,0.0017289193709936186
1673,1979-07-01,0.0017597729480547067
1674,1979-08-01,0.0017707206858738089
1675,1979-09-01,0.0017718367925272501
1676,1979-10-01,0.0017635016053759126
1677,1979-11-01,0.0017547110548689032
1678,1979-12-01,0.001742119628131648
1679,1980-01-01,0.0015244409873925683
1680,1980-02-01,0.0015531724072647768
1681,1980-03-01,0.0015722924567280522
1682,1980-04-01,0.0016270804135257281
1683,1980-05-01,0.0016956395135854882
1684,1980-06-01,0.0017481693158416223
1685,1980-07-01,0.0017755626357151323
1686,1980-08-01,0.0017889517858608456
1687,1980-09-01,0.001792706725907585
1688,1980-10-01,0.0017906029272922407
1689,1980-11-01,0.0017844774303473422
1690,1980-12-01,0.0017778385652118503
1691,1981-01-01,0.0018548403571262402
1692,1981-02-01,0.0018244042517405782
1693,1981-03-01,0.0017820353532477593
1694,1981-04-01,0.0017574892492466041
1695,1981-05-01,0.001787388071084803
1696,1981-06-01,0.001831867595260607
1697,1981-07-01,0.0018470939184860467
1698,1981-08-01,0.0018463275491042706
1699,1981-09-01,0.0018381525952161297
1700,1981-10-01,0.0018231296566165005
1701,1981-11-01,0.001807886137357616
1702,1981-12-01,0.0017926190032187285
1703,1982-01-01,0.001772344160077101
1704,1982-02-01,0.0017550191506511248
1705,1982-03-01,0.001742575482175287
1706,1982-04-01,0.0017338611175005932
1707,1982-05-01,0.0017853511440448508
1708,1982-06-01,0.0018162762380561372
1709,1982-07-01,0.0018210485133403032
1710,1982-08-01,0.001814228581458786
1711,1982-09-01,0.0017968529152717308
1712,1982-10-01,0.001775541919310056
1713,1982-11-01,0.0017523664810826021
1714,1982-12-01,0.0017257001159569141
1715,1983-01-01,0.0027624168711037037
1716,1983-02-01,0.0024303341131551273
1717,1983-03-01,0.00215111128595169
1718,1983-04-01,0.001964081935670303
1719,1983-05-01,0.001858098856899497
1720,1983-06-01,0.0018538115874532678
1721,1983-07-01,0.001833007472478308
1722,1983-08-01,0.0017919691343014038
1723,1983-09-01,0.001748061312023789
1724,1983-10-01,0.0017069736061604806
1725,1983-11-01,0.0016760330937350045
1726,1983-12-01,0.0016509908346248848
1727,1984-01-01,0.0016568870337172002
1728,1984-02-01,0.0016175811444523085
1729,1984-03-01,0.0015628880401064478
1730,1984-04-01,0.0015366909869386335
1731,1984-05-01,0.0015524142094084593
1732,1984-06-01,0.0016193663394278004
1733,1984-07-01,0.001650045104340576
1734,1984-08-01,0.001653817728624595
1735,1984-09-01,0.0016467870881517789
1736,1984-10-01,0.001631231182320035
1737,1984-11-01,0.0016174716557137976
1738,1984-12-01,0.0016019466549365862
1739,1985-01-01,0.0016090284934799348
1740,1985-02-01,0.0015560428020881488
1741,1985-03-01,0.0015147945078260148
1742,1985-04-01,0.001496205704045397
1743,1985-05-01,0.0014984760762904643
1744,1985-06-01,0.0015970004036720807
1745,1985-07-01,0.0016347816354429176
1746,1985-08-01,0.0016385446080809107
1747,1985-09-01,0.0016297384460799377
1748,1985-10-01,0.0016159245158910485
1749,1985-11-01,0.0016004032698728335
1750,1985-12-01,0.0015790856908167463
1751,1986-01-01,0.0017425175077105967
1752,1986-02-01,0.0016642724807861618
1753,1986-03-01,0.0015871391256460515
1754,1986-04-01,0.0015897172153020933
1755,1986-05-01,0.0016526634065936084
1756,1986-06-01,0.0016738597577945383
1757,1986-07-01,0.0016613590988552808
