Months.Since.1Jan1840,Year.Month.Day,1to10g.gm-2,10to100g.gm-2,100gto1kg.gm-2,1to10kg.gm-2,10to100kg.gm-2,GT100kg.gm-2
1451,1961-01-01,7.308300295450323e-8,1.8594742409169628e-6,4.890611584149197e-5,0.0015597231431765395,0.0049669839503471485,4.689285074315837e-4
1452,1961-02-01,7.308300295442975e-8,1.859474240399119e-6,4.890611572610164e-5,0.0015597233658887551,0.004966984488722338,4.689286131349609e-4
1453,1961-03-01,6.981896310399821e-8,1.7844229229142348e-6,4.860828536687815e-5,0.0015733318033215907,0.0048420122066914414,4.7480648382735137e-4
1454,1961-04-01,6.775359678078232e-8,1.7175413741742842e-6,4.681487202471374e-5,0.001588315726739283,0.004800620123038796,4.8622781337891174e-4
1455,1961-05-01,6.74633239543536e-8,1.7048546670474882e-6,4.534145567924563e-5,0.0016006598425608975,0.00488221610617019,4.978260351077901e-4
1456,1961-06-01,6.708490010563516e-8,1.6921639586836776e-6,4.4406367176826854e-5,0.0015856057621780981,0.005148014419264385,5.061877601310825e-4
1457,1961-07-01,6.759313313611345e-8,1.7063147941036114e-6,4.4574072764270294e-5,0.0015792944265018562,0.005265592397553573,5.106512014541214e-4
1458,1961-08-01,6.804639310869583e-8,1.7197480764898135e-6,4.498679600485103e-5,0.001574664288824956,0.005296849025890534,5.118031591041765e-4
1459,1961-09-01,6.850807183233636e-8,1.7317284587145913e-6,4.5343861103315005e-5,0.0015710890672954573,0.005293457201353841,5.106365003316633e-4
1460,1961-10-01,6.968421362548143e-8,1.7584787793346987e-6,4.567780750230717e-5,0.0015652900814632131,0.0052686138753272995,5.070091284014797e-4
1461,1961-11-01,7.13711904765847e-8,1.7979693285549392e-6,4.6252868712205324e-5,0.0015559667832201675,0.005232243043592864,5.008738727039959e-4
1462,1961-12-01,7.322325826695145e-8,1.845694512728822e-6,4.718145389008131e-5,0.0015440663328343824,0.005181111798226999,4.922776813350584e-4
1463,1962-01-01,7.35203943788128e-8,1.862819121800775e-6,4.83051921634122e-5,0.0015383518380068422,0.005121048526041271,4.840519682489916e-4
1464,1962-02-01,7.225766262126859e-8,1.8412125024141649e-6,4.9007041237460895e-5,0.0015461046257191132,0.0050229519664672685,4.787272325109345e-4
1465,1962-03-01,6.975368874381322e-8,1.7778398270452952e-6,4.836738757722603e-5,0.0015575560222946137,0.004865561385002758,4.7960847557541013e-4
1466,1962-04-01,6.789731515994545e-8,1.7227685896252553e-6,4.678858660792949e-5,0.001570174112897552,0.004786463729406431,4.862358639800309e-4
1467,1962-05-01,6.762221424553273e-8,1.7092275309432328e-6,4.564675645118942e-5,0.0015851172637238468,0.004819947442281607,4.956951454224011e-4
1468,1962-06-01,6.71368727150491e-8,1.6931168372508472e-6,4.443907018239371e-5,0.001574013557327021,0.005058001323517005,5.027901576895794e-4
1469,1962-07-01,6.803189389076462e-8,1.7176479328817087e-6,4.465965755218865e-5,0.001566192303687358,0.005171061868255873,5.056156508265711e-4
1470,1962-08-01,6.852839522798725e-8,1.7331160446105603e-6,4.525189373940299e-5,0.0015608645352865858,0.005208002361233673,5.054319872939564e-4
1471,1962-09-01,6.887423064107703e-8,1.7420876262574299e-6,4.566786469708055e-5,0.0015580003264399718,0.0052142512940767756,5.035409309847609e-4
1472,1962-10-01,7.013092434068455e-8,1.7712234540323738e-6,4.598899441852214e-5,0.001552301002132389,0.00519558123745371,4.991561873652641e-4
1473,1962-11-01,7.168310513426181e-8,1.8079977967278437e-6,4.65779269732357e-5,0.0015438105846945379,0.005166902326705608,4.926352907631264e-4
1474,1962-12-01,7.322613611403542e-8,1.847105917010884e-6,4.741857705530958e-5,0.0015341470301099887,0.005128284810056442,4.8456403124612937e-4
1475,1963-01-01,7.310682393915384e-8,1.8550731137208907e-6,4.838115469957084e-5,0.0015312441576893767,0.00507980906507622,4.773802587792299e-4
1476,1963-02-01,7.221230897483147e-8,1.8409760446944433e-6,4.895502476636954e-5,0.0015292210372196027,0.004913633194560548,4.6800865794244663e-4
1477,1963-03-01,6.952637744765334e-8,1.7745998518400675e-6,4.8272553714994654e-5,0.0015315722330360789,0.004731285063848644,4.6486509016063185e-4
1478,1963-04-01,6.75612580171137e-8,1.712138192968104e-6,4.657465894788835e-5,0.0015458444948983684,0.004744396870797199,4.6868790893472227e-4
1479,1963-05-01,6.692166022461026e-8,1.6907674034697848e-6,4.4835223910125386e-5,0.0015347255445841133,0.004909787697773712,4.7294519470112524e-4
1480,1963-06-01,6.74594741143237e-8,1.7023832589412362e-6,4.449163511241118e-5,0.0015236342342031491,0.0050242618612413295,4.7482550230653535e-4
1481,1963-07-01,6.824636846497511e-8,1.7239726090422491e-6,4.48461589006564e-5,0.0015135958079486424,0.005056929037474207,4.7353758317077166e-4
1482,1963-08-01,6.880149325835733e-8,1.7397700373654834e-6,4.5380894675151356e-5,0.0015061475116867184,0.0050468411924476,4.701420361366876e-4
1483,1963-09-01,6.923487784077874e-8,1.751388787168851e-6,4.5795274293943933e-5,0.001500940581382286,0.00502164072939625,4.656347044569667e-4
1484,1963-10-01,7.049725215750733e-8,1.780455055022379e-6,4.6160519253868315e-5,0.001493942670259044,0.004979821397877528,4.592681624420764e-4
1485,1963-11-01,7.247821498757459e-8,1.827604874060816e-6,4.680478746847874e-5,0.0014831563926520537,0.004928224366097394,4.505683329384447e-4
1486,1963-12-01,7.432839854160163e-8,1.8752223186607153e-6,4.782063479450057e-5,0.0014711863015663335,0.004874285200897223,4.40307540489142e-4
1487,1964-01-01,7.494101327143125e-8,1.9010962948181053e-6,4.8999714154273624e-5,0.0014633943945996306,0.004820261012006087,4.3025621464251097e-4
1488,1964-02-01,7.268366671711193e-8,1.8587138489468633e-6,4.981480546250873e-5,0.0014883499744872204,0.004852343447539731,4.3155452605686626e-4
1489,1964-03-01,6.999753927768286e-8,1.7871612493023746e-6,4.905125596460132e-5,0.0015222157591756303,0.004893817785471748,4.400509906250117e-4
1490,1964-04-01,6.794085059597517e-8,1.7243358197512509e-6,4.712984737354883e-5,0.0015527174240165722,0.00498204521962691,4.552470088084046e-4
1491,1964-05-01,6.732367258346874e-8,1.702493981186279e-6,4.543627806574878e-5,0.0015659621130030793,0.005125210375045872,4.7132259488155204e-4
1492,1964-06-01,6.731506864031712e-8,1.7000716918925596e-6,4.477741497388304e-5,0.0015685371674618576,0.005296397185392757,4.84971634740269e-4
1493,1964-07-01,6.76869375417501e-8,1.710685979891095e-6,4.484328121451422e-5,0.0015706727162232606,0.005380078627985932,4.94685858656595e-4
1494,1964-08-01,6.79529954605357e-8,1.718367127547459e-6,4.51204695684002e-5,0.0015733587880518974,0.005401636983522305,5.011230613784118e-4
1495,1964-09-01,6.867279090630362e-8,1.7354687139717082e-6,4.5376543588149584e-5,0.0015736872875868426,0.0053898479774225115,5.042240959720531e-4
1496,1964-10-01,6.973245804973854e-8,1.7607190750835674e-6,4.5764350865158925e-5,0.0015709190911739575,0.005361471045330673,5.042246641577268e-4
1497,1964-11-01,7.075718107171898e-8,1.7846708186587497e-6,4.627642642781894e-5,0.0015666442303010487,0.0053319372069294095,5.022163318138473e-4
1498,1964-12-01,7.202540323649527e-8,1.8159069621297077e-6,4.688687341233508e-5,0.00156043412578822,0.005290547096115566,4.983292238419871e-4
1499,1965-01-01,7.247931344290615e-8,1.8339567635515871e-6,4.766639333582928e-5,0.0015562275409249583,0.005238315646886831,4.938537304932107e-4
1500,1965-02-01,7.186103335874995e-8,1.8274135802989389e-6,4.847397492114138e-5,0.0015997086656828567,0.005312595650918606,5.064055487541755e-4
1501,1965-03-01,6.913860598384524e-8,1.763427579012748e-6,4.8157094031269174e-5,0.001643642717923105,0.005277412978695249,5.247574501584161e-4
1502,1965-04-01,6.682463821132498e-8,1.6970002071469473e-6,4.658956891836271e-5,0.0016870218722612655,0.005300784257888929,5.496651811540866e-4
1503,1965-05-01,6.693222916778545e-8,1.6894415723026977e-6,4.508402349995179e-5,0.0017201431954367585,0.00546164790617889,5.753135586963245e-4
1504,1965-06-01,6.740382464108736e-8,1.7002316191609886e-6,4.4502057150073616e-5,0.0017270453924768008,0.005718326083853696,5.963518273706916e-4
1505,1965-07-01,6.781438695314246e-8,1.7127628176521102e-6,4.4879499626033554e-5,0.001735678291676739,0.005888559996729938,6.126969041346698e-4
1506,1965-08-01,6.824598721505879e-8,1.7244552348936246e-6,4.5282735535589634e-5,0.0017436708368518106,0.005983616794814169,6.246654350170506e-4
1507,1965-09-01,6.907241369321622e-8,1.7448222095493038e-6,4.564207660597103e-5,0.0017483245261012738,0.006027373797355584,6.321123686753387e-4
1508,1965-10-01,7.102019924165621e-8,1.791040269177175e-6,4.6196273069524894e-5,0.0017455724364309113,0.006027182378022562,6.33639945779364e-4
1509,1965-11-01,7.271853771611182e-8,1.8349002009428975e-6,4.714561314139452e-5,0.001739196971086107,0.006010143692107708,6.307380206009871e-4
1510,1965-12-01,7.474584482810736e-8,1.8843632837563602e-6,4.8207892774005705e-5,0.0017296249883758021,0.005977146943919466,6.242494919171642e-4
1511,1966-01-01,7.493301191660937e-8,1.9045796292569854e-6,4.94398134451558e-5,0.0017251413042009616,0.0059299825117486585,6.17127728596842e-4
1512,1966-02-01,7.246698925056751e-8,1.854593714470566e-6,4.9001615611588765e-5,0.0015017757417901587,0.004920212212356949,5.100682776781244e-4
1513,1966-03-01,6.9194753379523e-8,1.7687830353423642e-6,4.78841490317406e-5,0.0013600698569815205,0.004110113751610979,4.289055477958593e-4
1514,1966-04-01,7.028539698876078e-8,1.77476368276901e-6,4.6252892722517854e-5,0.001268987230299503,0.0036089230198962604,3.685066733363119e-4
1515,1966-05-01,6.683880314432256e-8,1.6890666633907305e-6,4.4273548535504645e-5,0.0012035051933226202,0.003439419372314274,3.2203553397204017e-4
1516,1966-06-01,6.776357637780563e-8,1.7101834111641971e-6,4.381367681363625e-5,0.001136224020985873,0.0033713066471508808,2.8448191029195255e-4
1517,1966-07-01,6.836789088805829e-8,1.7288267553840346e-6,4.4326224881503585e-5,0.0010931986125561467,0.003262449826045455,2.5473369140521996e-4
1518,1966-08-01,6.885259892435263e-8,1.7423634471752836e-6,4.486110405992378e-5,0.0010656835273031755,0.0031575993017642612,2.317190374141055e-4
1519,1966-09-01,6.940377686515331e-8,1.7567690306735152e-6,4.52459887964933e-5,0.0010479167349871752,0.0030714244470731247,2.1406235380553004e-4
1520,1966-10-01,7.039440533280466e-8,1.7804149381307193e-6,4.561751599607772e-5,0.0010349688038478902,0.003001886831881042,2.0021668408589174e-4
1521,1966-11-01,7.121167681075036e-8,1.7993634197872547e-6,4.6061140116778956e-05,0.0010264095861072023,0.002954265914598376,1.8959584294627797e-4
1522,1966-12-01,7.296962745980782e-8,1.838981719283014e-6,4.6565009593186975e-5,0.0010175929826862268,0.0029072393536412507,1.8061609300876354e-4
1523,1967-01-01,7.423437845106857e-8,1.8803429343961373e-6,4.754465365712927e-5,0.0010107929985842489,0.002846483719809143,1.7244666864532653e-4
1524,1967-02-01,7.193942424334281e-8,1.8379179393712374e-6,4.814140165887266e-5,9.818903946791694e-4,0.002614257511945677,1.5808593894216005e-4
1525,1967-03-01,7.328337790199297e-8,1.7710916013649755e-6,4.7218069340926976e-5,9.655298122995746e-4,0.002396871991544356,1.4938167701689816e-4
1526,1967-04-01,7.162179904296648e-8,1.7241358967430778e-6,4.5620998601068366e-5,9.538252730350992e-4,0.002277642169941118,1.4470642993808e-4
1527,1967-05-01,6.731767170616973e-8,1.7040546150939782e-6,4.437521373444267e-5,9.482796516930044e-4,0.002404390160112921,1.417204089437674e-4
1528,1967-06-01,6.765932891372507e-8,1.7099304380496982e-6,4.38984618340758e-5,9.263196357154634e-4,0.002510115473752509,1.3875121546299643e-4
1529,1967-07-01,6.883991834666421e-8,1.7397048284950037e-6,4.416871298781163e-5,9.120029568287961e-4,0.0025067759219630664,1.3487025757719754e-4
1530,1967-08-01,7.006387503848842e-8,1.7737271648247678e-6,4.489897566735689e-5,9.016160684757341e-4,0.0024662496251459196,1.302420400715211e-4
1531,1967-09-01,7.057619339326315e-8,1.7906479870460474e-6,4.567844275774327e-5,8.97267576654585e-4,0.00242643270122765,1.2598937770664663e-4
1532,1967-10-01,7.147169427196527e-8,1.8112452469832737e-6,4.615600022078479e-5,8.954945043412739e-4,0.0023916134844808733,1.2226089095382746e-4
1533,1967-11-01,7.287373079793077e-8,1.8435132899370305e-6,4.6594691831740044e-5,8.931233219487333e-4,0.0023643900663668353,1.1867994835615216e-4
1534,1967-12-01,7.439459041961302e-8,1.8802224419376051e-6,4.724835566893188e-5,8.90388153638636e-4,0.0023396642923773038,1.1520171105742931e-4
1535,1968-01-01,7.556640968552394e-8,1.9167180683723846e-6,4.8184056768850964e-5,8.89052262478998e-4,0.00230052803772183,1.1168658241904637e-4
1536,1968-02-01,7.416957549667398e-8,1.898674939440862e-6,4.9721989743081235e-5,9.57721817293138e-4,0.0024621329667336186,1.2118549844178158e-4
1537,1968-03-01,7.14034119966864e-8,1.8302271048735727e-6,4.957680917734708e-5,0.001019452926187959,0.0025990232875195834,1.3488037503232216e-4
1538,1968-04-01,7.02842384956325e-8,1.7896216372221598e-6,4.799748481467909e-5,0.0010671465329496338,0.0027145790965902366,1.5288988490301875e-4
