Months.Since.1Jan1840,Year.Month.Day,1to10g.gm-2,10to100g.gm-2,100gto1kg.gm-2,1to10kg.gm-2,10to100kg.gm-2,GT100kg.gm-2
1451,1961-01-01,0,0,3.1972121612002725e-6,3.361159569177954e-4,0.0012102774632559786,1.158583364038428e-4
1452,1961-02-01,0,0,3.1972121510561945e-6,3.361160120069808e-4,0.0012102775961553975,1.1585836252001455e-4
1453,1961-03-01,0,0,3.202322828562911e-6,3.398488114816802e-4,0.0011793509084951528,1.1731061016379129e-4
1454,1961-04-01,0,0,3.0974400173608483e-6,3.4455050476555363e-4,0.0011691945813845817,1.2013248219842527e-4
1455,1961-05-01,0,0,2.972031236475182e-6,3.483212132503152e-4,0.0011896593321608152,1.2299805904746508e-4
1456,1961-06-01,0,0,2.92142900960118e-6,3.4681755781318445e-4,0.0012557226335581928,1.250639934816312e-4
1457,1961-07-01,0,0,2.9284111982117357e-6,0.00034569721580323477,0.0012850552993316805,1.261667775481318e-4
1458,1961-08-01,0,0,2.9560485557371696e-6,3.444311304417662e-4,0.0012929048571109312,1.2645139214252716e-4
1459,1961-09-01,0,0,2.979277434565245e-6,3.431939880553219e-4,0.0012920683894900918,1.2616314533647426e-4
1460,1961-10-01,0,0,2.994003343074858e-6,3.4133780307478304e-4,0.0012858601633303898,1.2526692923809515e-4
1461,1961-11-01,0,0,3.0226363862555885e-6,3.385693399521525e-4,0.0012767574985414743,1.2375108938776066e-4
1462,1961-12-01,0,0,3.077347152930669e-6,3.350145286792088e-4,0.0012639545449118729,1.2162722526853884e-4
1463,1962-01-01,0,0,3.17653636525219e-6,3.345339255295023e-4,0.0012554225657943358,1.2022382507757544e-4
1464,1962-02-01,0,0,3.2378895566276325e-6,3.353269143040686e-4,0.0012307404624507616,1.1890132224740991e-4
1465,1962-03-01,0,0,3.2188600635315562e-6,3.38320155855787e-4,0.0011914118847789947,1.191201962919006e-4
1466,1962-04-01,0,0,3.115816299564042e-6,3.4236499927463835e-4,0.0011718096144168906,1.2076623852815162e-4
1467,1962-05-01,0,0,3.0072935642100446e-6,3.464746401406884e-4,0.0011804376568432286,1.23115637088808e-4
1468,1962-06-01,0,0,2.9411911469858906e-6,3.4572970030338676e-4,0.001239969916556716,1.248778229070335e-4
1469,1962-07-01,0,0,2.945670827581081e-6,3.4422214430985545e-4,0.001268359035171391,1.2557958969023318e-4
1470,1962-08-01,0,0,2.9873428855563586e-6,3.4272485442856873e-4,0.0012776554431817174,1.255339732402101e-4
1471,1962-09-01,0,0,3.0183491180444494e-6,3.416024772520069e-4,0.0012791850327677648,1.2506429221866404e-4
1472,1962-10-01,0,0,3.031118083818901e-6,3.3971476366271333e-4,0.0012744617979571877,1.2397525491585686e-4
1473,1962-11-01,0,0,3.0616206278458484e-6,3.3712098265852687e-4,0.0012672071817606153,1.2235566201288761e-4
1474,1962-12-01,0,0,3.1140948914276184e-6,3.3413959963355636e-4,0.0012574357321633192,1.2035100599250753e-4
1475,1963-01-01,0,0,3.3356951584708725e-6,3.481373803301787e-4,0.0013030509541816784,1.2408112546934954e-4
1476,1963-02-01,0,0,3.3773429788352428e-6,3.4639007197477485e-4,0.0012596109618726017,1.2164525017309996e-4
1477,1963-03-01,0,0,3.3538010762654915e-6,3.472715172561481e-4,0.0012119909926865072,1.2082817108115294e-4
1478,1963-04-01,0,0,3.2386312772352177e-6,3.514239918236891e-4,0.0012154496803069726,1.2182180172932321e-4
1479,1963-05-01,0,0,3.1115148113185244e-6,3.507310107726191e-4,0.0012588079974759786,1.2292835944641603e-4
1480,1963-06-01,0,0,3.0747281077620696e-6,3.4893680773672136e-4,0.001288987410028235,1.2341709076619137e-4
1481,1963-07-01,0,0,3.09442315374994e-6,3.4655182402537106e-4,0.0012977503724414263,1.2308233361413038e-4
1482,1963-08-01,0,0,3.132828164322593e-6,3.443408113182513e-4,0.0012952125950300754,1.2219975983814165e-4
1483,1963-09-01,0,0,3.162907486685812e-6,3.4253259147820994e-4,0.0012886181592656335,1.2102820995228416e-4
1484,1963-10-01,0,0,3.179721277644543e-6,3.4020264122526544e-4,0.001277655309404859,1.19373412368958e-4
1485,1963-11-01,0,0,3.211031645569533e-6,3.3683118172028823e-4,0.001264118232032623,1.1711214450890328e-4
1486,1963-12-01,0,0,3.2758020371256664e-6,3.3301824349518124e-4,0.0012499038202247008,1.1444514969312966e-4
1487,1964-01-01,0,0,3.1629631863155474e-6,3.102231885847107e-4,0.0011611421215378637,1.0509669065230161e-4
1488,1964-02-01,0,0,3.2509502237668747e-6,3.1536234262409855e-4,0.0011685144071069303,1.0541382316181859e-4
1489,1964-03-01,0,0,3.2243725688235587e-6,3.231929793832067e-4,0.0011783285884718836,1.074892151677157e-4
1490,1964-04-01,0,0,3.0942441310390635e-6,3.3137939937028074e-4,0.0011999102894532491,1.1120107607248786e-4
1491,1964-05-01,0,0,2.967452063791077e-6,3.3631281997629516e-4,0.00123526182538667,1.1512778494754218e-4
