Months.Since.1Jan1840,Year.Month.Day,tic.gm-2
1451,1961-01-01,0.001665448968738817
1452,1961-02-01,0.001665449182833449
1453,1961-03-01,0.0016397126529691872
1454,1961-04-01,0.0016369750083659214
1455,1961-05-01,0.0016639506356950706
1456,1961-06-01,0.0017305256138626097
1457,1961-07-01,0.0017598477038812588
1458,1961-08-01,0.0017667434282509615
1459,1961-09-01,0.001764404800316453
1460,1961-10-01,0.0017554588989863427
1461,1961-11-01,0.001742100564267643
1462,1961-12-01,0.0017236736460125512
1463,1962-01-01,0.0017133568527666657
1464,1962-02-01,0.001688206588558868
1465,1962-03-01,0.0016520710969902138
1466,1962-04-01,0.0016380566685192447
1467,1962-05-01,0.0016530352276369349
1468,1962-06-01,0.0017135186309141222
1469,1962-07-01,0.0017411064399990605
1470,1962-08-01,0.0017489016137360526
1471,1962-09-01,0.0017488701513564803
1472,1962-10-01,0.0017411829346195768
1473,1962-11-01,0.0017297454470598754
1474,1962-12-01,0.0017150404326808108
1475,1963-01-01,0.0017786051551396777
1476,1963-02-01,0.0017310236269993118
1477,1963-03-01,0.001683444482100074
1478,1963-04-01,0.00169193410513722
1479,1963-05-01,0.0017355788825063323
1480,1963-06-01,0.0017644160366389098
1481,1963-07-01,0.0017704789532346776
1482,1963-08-01,0.0017648859943507908
1483,1963-09-01,0.0017553418681828135
1484,1963-10-01,0.001740411084276727
1485,1963-11-01,0.001721272589907384
1486,1963-12-01,0.0017006430154501374
1487,1964-01-01,0.0015796249639611916
1488,1964-02-01,0.0015925415231166143
1489,1964-03-01,0.0016122351555916295
1490,1964-04-01,0.0016455850090270566
1491,1964-05-01,0.0016896698823742982
1492,1964-06-01,0.0017373146170801964
1493,1964-07-01,0.00176145779235574
1494,1964-08-01,0.0017690716504401582
1495,1964-09-01,0.0017667872849005868
1496,1964-10-01,0.0017587839598074404
1497,1964-11-01,0.0017495805187198303
1498,1964-12-01,0.0017364436281453075
1499,1965-01-01,0.0015007607693272474
1500,1965-02-01,0.0015272945533829593
1501,1965-03-01,0.0015328166962305587
1502,1965-04-01,0.0015528998258964278
1503,1965-05-01,0.0016004095313054407
1504,1965-06-01,0.0016626573715891207
1505,1965-07-01,0.0017048049538125377
1506,1965-08-01,0.0017292683242229132
1507,1965-09-01,0.0017408277828708364
1508,1965-10-01,0.0017400259564199425
1509,1965-11-01,0.0017337912674134557
1510,1965-12-01,0.0017225440212853553
1511,1966-01-01,0.0032310054630720615
1512,1966-02-01,0.0026928012986499115
1513,1966-03-01,0.002277735569935678
1514,1966-04-01,0.0020165059895221843
1515,1966-05-01,0.0019052895426942185
1516,1966-06-01,0.001838713643252615
1517,1966-07-01,0.0017663946889018341
1518,1966-08-01,0.001703485223695151
1519,1966-09-01,0.0016537093645849626
1520,1966-10-01,0.00161400526032511
1521,1966-11-01,0.0015862490249880547
1522,1966-12-01,0.0015592770016140066
1523,1967-01-01,0.0017719404813971527
1524,1967-02-01,0.0016420395137057967
1525,1967-03-01,0.001529032812975022
1526,1967-04-01,0.0014674509694283277
1527,1967-05-01,0.0015244049441836334
1528,1967-06-01,0.001565128811381842
1529,1967-07-01,0.0015559444514642096
1530,1967-08-01,0.001529585060431322
1531,1967-09-01,0.0015057721311296727
1532,1967-10-01,0.0014854983000333857
1533,1967-11-01,0.0014686742701996414
1534,1967-12-01,0.0014529455595325912
1535,1968-01-01,0.0011244459800534494
1536,1968-02-01,0.0012090173625808787
1537,1968-03-01,0.001284995534467224
1538,1968-04-01,0.0013521642051133743
1539,1968-05-01,0.0014960364894328923
1540,1968-06-01,0.001573255664811458
1541,1968-07-01,0.0015968875365335046
1542,1968-08-01,0.0015985667438995987
1543,1968-09-01,0.001590799404726814
1544,1968-10-01,0.001576533613061403
1545,1968-11-01,0.001561349716181501
1546,1968-12-01,0.001547353402915748
1547,1969-01-01,0.001624301350498781
1548,1969-02-01,0.0015724053097181338
1549,1969-03-01,0.0015539435185550068
1550,1969-04-01,0.0015408729874565226
1551,1969-05-01,0.0015937313317892275
1552,1969-06-01,0.0016348368717743332
1553,1969-07-01,0.0016358918682123163
1554,1969-08-01,0.0016229440487131336
1555,1969-09-01,0.0016067563363281318
1556,1969-10-01,0.0015886641027049939
1557,1969-11-01,0.001567813504777693
1558,1969-12-01,0.0015465822033086782
1559,1970-01-01,0.0018722085102355576
1560,1970-02-01,0.0016914919590604869
1561,1970-03-01,0.0015451072643177
1562,1970-04-01,0.0014767517643234972
1563,1970-05-01,0.0014785097220438661
1564,1970-06-01,0.00152959326768484
1565,1970-07-01,0.0015436392339210183
1566,1970-08-01,0.0015374209659026145
1567,1970-09-01,0.001525931217043569
1568,1970-10-01,0.0015120679363586067
1569,1970-11-01,0.0014960491150963961
1570,1970-12-01,0.0014768546012743295
1571,1971-01-01,5.142195946965188e-4
1572,1971-02-01,6.436433560622871e-4
1573,1971-03-01,7.74041001402744e-4
1574,1971-04-01,9.068897802153405e-4
1575,1971-05-01,0.0010352824699013323
1576,1971-06-01,0.0011856147355982212
1577,1971-07-01,0.0013107830182767942
1578,1971-08-01,0.0014071772725654842
1579,1971-09-01,0.0014818742024407475
1580,1971-10-01,0.0015394120103965326
1581,1971-11-01,0.0015837272688618827
1582,1971-12-01,0.0016147445953365639
1583,1972-01-01,0.0011412111722093117
1584,1972-02-01,0.0011906754328403404
1585,1972-03-01,0.001242457230435886
1586,1972-04-01,0.0013010233549375614
1587,1972-05-01,0.0013808026737693407
1588,1972-06-01,0.001464926229107707
1589,1972-07-01,0.0015270110680366976
1590,1972-08-01,0.0015739149055528927
1591,1972-09-01,0.0016108469294112803
1592,1972-10-01,0.0016379364893780346
1593,1972-11-01,0.0016544398100048461
1594,1972-12-01,0.0016657070685559433
1595,1973-01-01,0.0014792236185287796
1596,1973-02-01,0.0015032351069636232
1597,1973-03-01,0.0015217133538005794
1598,1973-04-01,0.0015507790375594943
1599,1973-05-01,0.0015855006038497732
1600,1973-06-01,0.0016461596580359516
1601,1973-07-01,0.0016904750867572193
1602,1973-08-01,0.001721768207514515
1603,1973-09-01,0.0017449383507743344
1604,1973-10-01,0.0017615150826890138
1605,1973-11-01,0.0017724436282881603
1606,1973-12-01,0.0017780280095814533
1607,1974-01-01,0.002464570085229466
1608,1974-02-01,0.0023598535904661364
1609,1974-03-01,0.002257070856186252
1610,1974-04-01,0.0021736119042997455
1611,1974-05-01,0.0021305579606227506
1612,1974-06-01,0.002109759631331364
1613,1974-07-01,0.00208345168492837
1614,1974-08-01,0.002053928816706588
1615,1974-09-01,0.0020256457032710134
1616,1974-10-01,0.001995988671799808
1617,1974-11-01,0.0019677178228861255
1618,1974-12-01,0.0019424332710177208
1619,1975-01-01,0.0016663829402977178
1620,1975-02-01,0.0016707807962940762
1621,1975-03-01,0.0016639711562714287
1622,1975-04-01,0.001668127382046749
1623,1975-05-01,0.0016763148865177404
1624,1975-06-01,0.001712274692687066
1625,1975-07-01,0.0017457908738515169
1626,1975-08-01,0.0017696210369194268
1627,1975-09-01,0.0017879331124741864
1628,1975-10-01,0.0017997524362164572
1629,1975-11-01,0.0018065880643060046
1630,1975-12-01,0.0018081054446320828
1631,1976-01-01,0.003077995522967783
1632,1976-02-01,0.0027946717389432025
1633,1976-03-01,0.0025499307145818778
1634,1976-04-01,0.0023614347305820037
1635,1976-05-01,0.0022251063548446716
1636,1976-06-01,0.0021736295154567453
1637,1976-07-01,0.0021180074740320466
1638,1976-08-01,0.0020584789858299935
1639,1976-09-01,0.00200479153156791
1640,1976-10-01,0.001954127501015604
1641,1976-11-01,0.0019059219835051654
1642,1976-12-01,0.0018656632828496092
1643,1977-01-01,0.0020435430087163767
1644,1977-02-01,0.001957227080159895
1645,1977-03-01,0.0018692067693606004
1646,1977-04-01,0.001813336287220316
1647,1977-05-01,0.0017768576303294422
1648,1977-06-01,0.0017901197894445431
1649,1977-07-01,0.0017991175541857184
1650,1977-08-01,0.0017987966772909402
1651,1977-09-01,0.0017921656615324736
1652,1977-10-01,0.0017793891138170577
1653,1977-11-01,0.0017624825302933952
1654,1977-12-01,0.0017473361217954402
1655,1978-01-01,0.0022708106976879823
1656,1978-02-01,0.002092572416153244
1657,1978-03-01,0.001945615205890607
1658,1978-04-01,0.0018348533971172293
1659,1978-05-01,0.001819830348571389
1660,1978-06-01,0.0018164519458014124
1661,1978-07-01,0.0017968406856427956
1662,1978-08-01,0.0017702500067498933
1663,1978-09-01,0.0017441431787075788
1664,1978-10-01,0.0017165604268620242
1665,1978-11-01,0.0016910267474855457
1666,1978-12-01,0.0016660305593380975
1667,1979-01-01,0.0017094289748605725
1668,1979-02-01,0.0016460259095277055
1669,1979-03-01,0.0015891360516388066
1670,1979-04-01,0.001563667182740038
1671,1979-05-01,0.001577148591161836
1672,1979-06-01,0.0016418253132555567
1673,1979-07-01,0.0016683348325439765
1674,1979-08-01,0.0016711245222980039
1675,1979-09-01,0.0016642878038865467
1676,1979-10-01,0.0016482942753409122
1677,1979-11-01,0.0016344489258928354
1678,1979-12-01,0.0016176897597437565
1679,1980-01-01,0.0021302134860431577
1680,1980-02-01,0.0019133475407956478
1681,1980-03-01,0.0017420439370030895
1682,1980-04-01,0.0016862211597594445
1683,1980-05-01,0.0016826886606044697
1684,1980-06-01,0.0016723483747981167
1685,1980-07-01,0.0016421740588249253
1686,1980-08-01,0.0016103285294523895
1687,1980-09-01,0.0015800880815852118
1688,1980-10-01,0.001553672495644053
1689,1980-11-01,0.0015305834592579059
1690,1980-12-01,0.0015136006250785882
1691,1981-01-01,5.077414793310277e-4
1692,1981-02-01,6.500407756555779e-4
1693,1981-03-01,7.796269895257649e-4
1694,1981-04-01,9.085286341136824e-4
1695,1981-05-01,0.0010627302076702447
1696,1981-06-01,0.0012138388926388503
