Months.Since.1Jan1840,Year.Month.Day,tpb.gm-2
1451,1961-01-01,0.0070464783041658974
1452,1961-02-01,0.00704647917084077
1453,1961-03-01,0.006940616880731987
1454,1961-04-01,0.006923767595195495
1455,1961-05-01,0.007027819510147248
1456,1961-06-01,0.007285977288368479
1457,1961-07-01,0.007401889762197359
1458,1961-08-01,0.007430094841915533
1459,1961-09-01,0.007422330668704304
1460,1961-10-01,0.007388422922739253
1461,1961-11-01,0.007337209869681954
1462,1961-12-01,0.007266560242519567
1463,1962-01-01,0.007193697933937936
1464,1962-02-01,0.007098708332234368
1465,1962-03-01,0.006952944726530577
1466,1962-04-01,0.006891456729033536
1467,1962-05-01,0.006948187221261557
1468,1962-06-01,0.007181008096178689
1469,1962-07-01,0.007289318937135086
1470,1962-08-01,0.007321356222951582
1471,1962-09-01,0.007323275198366102
1472,1962-10-01,0.007294872663458857
1473,1962-11-01,0.007251809784175511
1474,1962-12-01,0.007196338838519732
1475,1963-01-01,0.007138746861759252
1476,1963-02-01,0.006961735093345006
1477,1963-03-01,0.006777842912502517
1478,1963-04-01,0.0068072873901411785
1479,1963-05-01,0.006964055070235716
1480,1963-06-01,0.007068986824703892
1481,1963-07-01,0.007090704594346053
1482,1963-08-01,0.007070324022742904
1483,1963-09-01,0.007035835752680666
1484,1963-10-01,0.006981047609981781
1485,1963-11-01,0.006910657977286348
1486,1963-12-01,0.0068355533426822535
1487,1964-01-01,0.006764891512115712
1488,1964-02-01,0.006823998162953565
1489,1964-03-01,0.006906996822441524
1490,1964-04-01,0.00703893555036259
1491,1964-05-01,0.007209704919989524
1492,1964-06-01,0.007396454530255904
1493,1964-07-01,0.007492062614793944
1494,1964-08-01,0.007523029394095987
1495,1964-09-01,0.007514943856116365
1496,1964-10-01,0.0074842134714207505
1497,1964-11-01,0.007448933551593381
1498,1964-12-01,0.007398089249156102
1499,1965-01-01,0.00733797376472317
1500,1965-02-01,0.007469087090334564
1501,1965-03-01,0.007495806634370976
1502,1965-04-01,0.007585828415620394
1503,1965-05-01,0.00780394878146583
1504,1965-06-01,0.008087996741552791
1505,1965-07-01,0.008283599035378692
1506,1965-08-01,0.008399032291753894
1507,1965-09-01,0.008455270495238452
1508,1965-10-01,0.008454457028766696
1509,1965-11-01,0.008429135941939118
1510,1965-12-01,0.008381192562157918
1511,1966-01-01,0.008323675005378927
1512,1966-02-01,0.006982988907197996
1513,1966-03-01,0.0059488151096740655
1514,1966-04-01,0.005294518774433557
1515,1966-05-01,0.005010993271553533
1516,1966-06-01,0.004837607965938144
1517,1966-07-01,0.004656509343104162
1518,1966-08-01,0.0045016780053479645
1519,1966-09-01,0.004380479545266003
1520,1966-10-01,0.004284544546636731
1521,1966-11-01,0.004218207009466252
1522,1966-12-01,0.004153929439072706
1523,1967-01-01,0.004079226723268056
1524,1967-02-01,0.0038042890843229807
1525,1967-03-01,0.0035608508030442946
1526,1967-04-01,0.003423595407732254
1527,1967-05-01,0.003540540546374445
1528,1967-06-01,0.0036208661346169837
1529,1967-07-01,0.003599630212616343
1530,1967-08-01,0.0035448543794892513
1531,1967-09-01,0.003497233226647577
1532,1967-10-01,0.0034574115508115054
1533,1967-11-01,0.0034247084477874922
1534,1967-12-01,0.0033944612472216738
1535,1968-01-01,0.0033514473968677756
1536,1968-02-01,0.003592739204197288
1537,1968-03-01,0.003804838969616278
1538,1968-04-01,0.003984476800291777
