Months.Since.1Jan1840,Year.Month.Day,bp30to90cm.gm-2
1451,1961-01-01,0.006820794172395411
1452,1961-02-01,0.006820760261099208
1453,1961-03-01,0.006820726374825233
1454,1961-04-01,0.006820692513553726
1455,1961-05-01,0.006820658677264942
1456,1961-06-01,0.006820624865939157
1457,1961-07-01,0.006820591079556657
1458,1961-08-01,0.0068205573180977535
1459,1961-09-01,0.0068205235815427725
1460,1961-10-01,0.0068204898698720545
1461,1961-11-01,0.0068204561830659555
1462,1961-12-01,0.006820422521104855
1463,1962-01-01,0.006820388883969146
1464,1962-02-01,0.006820355271639236
1465,1962-03-01,0.006820321684095553
1466,1962-04-01,0.006820288121318539
1467,1962-05-01,0.00682025458328866
1468,1962-06-01,0.006820221069986389
1469,1962-07-01,0.006820187581392222
1470,1962-08-01,0.0068201541174866724
1471,1962-09-01,0.006820120678250265
1472,1962-10-01,0.0068200872636635474
1473,1962-11-01,0.006820053873707082
1474,1962-12-01,0.006820020508361447
1475,1963-01-01,0.0068199871676072376
1476,1963-02-01,0.006820131482115562
1477,1963-03-01,0.0068239137576416985
1478,1963-04-01,0.006827736341670786
1479,1963-05-01,0.006831589340889703
1480,1963-06-01,0.0068354633349092956
1481,1963-07-01,0.006839350563672763
1482,1963-08-01,0.006843245250762873
1483,1963-09-01,0.006847143327106481
1484,1963-10-01,0.006851041916667098
1485,1963-11-01,0.006854938853310162
1486,1963-12-01,0.006858832347848227
1487,1964-01-01,0.006862738326076767
1488,1964-02-01,0.006869797656498914
1489,1964-03-01,0.006876874104552633
1490,1964-04-01,0.006883959035590002
1491,1964-05-01,0.006891044705573521
1492,1964-06-01,0.006898124906317131
1493,1964-07-01,0.006905195010685063
1494,1964-08-01,0.006912251667508062
1495,1964-09-01,0.006919292405722004
1496,1964-10-01,0.006926315306900472
1497,1964-11-01,0.006933318796145198
1498,1964-12-01,0.006940301534596618
1499,1965-01-01,0.006947202545134789
1500,1965-02-01,0.006954607230792409
1501,1965-03-01,0.0069619888470326035
1502,1965-04-01,0.006969345486405586
1503,1965-05-01,0.006976675490595168
1504,1965-06-01,0.006983977581530848
1505,1965-07-01,0.006991250878852013
1506,1965-08-01,0.006998494839845148
1507,1965-09-01,0.007005709171860846
1508,1965-10-01,0.007012893752872851
1509,1965-11-01,0.007020048574498449
1510,1965-12-01,0.007027173706782607
1511,1966-01-01,0.007034269277992141
1512,1966-02-01,0.007041180254332086
1513,1966-03-01,0.007047410969550146
1514,1966-04-01,0.0070535992689552225
1515,1966-05-01,0.00705974756100836
1516,1966-06-01,0.007065858211751648
1517,1966-07-01,0.0070719332619799385
1518,1966-08-01,0.007077974345835618
1519,1966-09-01,0.007083982745516521
1520,1966-10-01,0.007089959498566359
1521,1966-11-01,0.007095905497479394
1522,1966-12-01,0.007101821556065643
1523,1967-01-01,0.0071077084423662425
1524,1967-02-01,0.007113351924663441
1525,1967-03-01,0.007118132684102211
1526,1967-04-01,0.00712287665742782
1527,1967-05-01,0.007127586937626254
1528,1967-06-01,0.007132266357328922
1529,1967-07-01,0.007136917245536161
1530,1967-08-01,0.007141541396313759
1531,1967-09-01,0.007146140165812664
1532,1967-10-01,0.007150714607776332
1533,1967-11-01,0.007155265589361794
1534,1967-12-01,0.007159793866470726
1535,1968-01-01,0.007164300122318275
1536,1968-02-01,0.007168539839951923
1537,1968-03-01,0.007172048642910673
1538,1968-04-01,0.007175531028943988
1539,1968-05-01,0.0071789896900297774
1540,1968-06-01,0.0071824270065210735
1541,1968-07-01,0.0071858448668161235
1542,1968-08-01,0.00718924466700391
1543,1968-09-01,0.007192627412436001
1544,1968-10-01,0.0071959938438946325
1545,1968-11-01,0.00719934454122178
1546,1968-12-01,0.00720267998950096
1547,1969-01-01,0.0072060006128612224
1548,1969-02-01,0.007209064106267305
1549,1969-03-01,0.007211592655159558
1550,1969-04-01,0.007214103433602532
1551,1969-05-01,0.0072165987561427685
1552,1969-06-01,0.007219080671266518
1553,1969-07-01,0.007221550777928487
1554,1969-08-01,0.007224010210973702
1555,1969-09-01,0.007226459729342167
1556,1969-10-01,0.007228899834810601
1557,1969-11-01,0.007231330873790955
1558,1969-12-01,0.007233753104778792
1559,1970-01-01,0.007236166734231407
1560,1970-02-01,0.007238431417331269
1561,1970-03-01,0.007239497910078184
1562,1970-04-01,0.007240545380125815
1563,1970-05-01,0.007241577234757561
1564,1970-06-01,0.00724259671538462
1565,1970-07-01,0.007243606477549454
1566,1970-08-01,0.007244608462576587
1567,1970-09-01,0.007245603982206726
1568,1970-10-01,0.007246593896246504
1569,1970-11-01,0.007247578787888731
1570,1970-12-01,0.0072485590903918875
1571,1971-01-01,0.007249607269676039
1572,1971-02-01,0.007249014778370957
1573,1971-03-01,0.007248402748395042
1574,1971-04-01,0.007247775004628974
1575,1971-05-01,0.007247135375240132
1576,1971-06-01,0.007246487139359872
1577,1971-07-01,0.0072458328017457295
1578,1971-08-01,0.007245174134235858
1579,1971-09-01,0.007244512354898373
1580,1971-10-01,0.0072438483280813015
1581,1971-11-01,0.0072431827198721046
1582,1971-12-01,0.00724251609231262
1583,1972-01-01,0.00724213393722817
1584,1972-02-01,0.007239725941115563
1585,1972-03-01,0.007237301476597015
1586,1972-04-01,0.007234864344945166
1587,1972-05-01,0.007232418359781624
1588,1972-06-01,0.007229966824844273
1589,1972-07-01,0.0072275123156047985
1590,1972-08-01,0.007225056711663309
1591,1972-09-01,0.007222601361603727
1592,1972-10-01,0.007220147271099175
1593,1972-11-01,0.00721769525133826
1594,1972-12-01,0.007215246010303774
1595,1973-01-01,0.007213145049704662
1596,1973-02-01,0.007210606104676935
1597,1973-03-01,0.00720807246984427
1598,1973-04-01,0.007205544531559567
1599,1973-05-01,0.00720302265813175
1600,1973-06-01,0.007200507199475957
1601,1973-07-01,0.007197998480731523
1602,1973-08-01,0.007195496796201347
1603,1973-09-01,0.007193002405767741
1604,1973-10-01,0.007190515533999487
1605,1973-11-01,0.007188036371460823
1606,1973-12-01,0.007185565077524761
1607,1974-01-01,0.007183449382283779
1608,1974-02-01,0.007182717194824236
1609,1974-03-01,0.007182015713820774
1610,1974-04-01,0.007181340556552701
1611,1974-05-01,0.007180687313788212
1612,1974-06-01,0.00718005220459007
1613,1974-07-01,0.007179432332158555
1614,1974-08-01,0.00717882562479493
1615,1974-09-01,0.007178230619736309
1616,1974-10-01,0.007177646228206548
1617,1974-11-01,0.007177071557199813
1618,1974-12-01,0.007176505805462958
1619,1975-01-01,0.007176204301531283
1620,1975-02-01,0.007178697882317322
1621,1975-03-01,0.0071812337267753825
1622,1975-04-01,0.007183803483685652
1623,1975-05-01,0.007186399121834587
1624,1975-06-01,0.007189013907255258
1625,1975-07-01,0.00719164269585082
1626,1975-08-01,0.0071942817393315095
1627,1975-09-01,0.007196928287777801
1628,1975-10-01,0.007199580205718125
1629,1975-11-01,0.007202235701688659
1630,1975-12-01,0.00720489317991785
1631,1976-01-01,0.007207604922888353
1632,1976-02-01,0.007212833050850827
1633,1976-03-01,0.007218081045918029
1634,1976-04-01,0.007223341556671643
1635,1976-05-01,0.007228607814624289
1636,1976-06-01,0.007233874296345979
1637,1976-07-01,0.007239136847697492
1638,1976-08-01,0.007244392461207899
1639,1976-09-01,0.007249638936552265
1640,1976-10-01,0.007254874580653035
1641,1976-11-01,0.007260098007256389
1642,1976-12-01,0.007265308030009277
1643,1977-01-01,0.007270419517132226
1644,1977-02-01,0.007276901368295707
1645,1977-03-01,0.007283373799166235
1646,1977-04-01,0.007289833024019117
1647,1977-05-01,0.007296275665283112
1648,1977-06-01,0.007302699061526817
1649,1977-07-01,0.007309101304589789
1650,1977-08-01,0.00731548110693883
1651,1977-09-01,0.007321837617542287
1652,1977-10-01,0.007328170263665659
1653,1977-11-01,0.007334478645720902
1654,1977-12-01,0.007340762479785089
1655,1978-01-01,0.0073468216559811565
1656,1978-02-01,0.007351944955588485
1657,1978-03-01,0.007357027619371905
1658,1978-04-01,0.007362072325558926
1659,1978-05-01,0.007367081698442301
1660,1978-06-01,0.0073720579799869046
1661,1978-07-01,0.007377002942788662
1662,1978-08-01,0.007381917961564095
1663,1978-09-01,0.007386804142440343
1664,1978-10-01,0.00739166243961349
1665,1978-11-01,0.00739649373091109
1666,1978-12-01,0.007401298853435106
1667,1979-01-01,0.0074058659725294565
1668,1979-02-01,0.0074089361626904415
1669,1979-03-01,0.007411968407113439
1670,1979-04-01,0.0074149670208376265
1671,1979-05-01,0.0074179359663192794
1672,1979-06-01,0.007420878491989142
1673,1979-07-01,0.007423797080645654
1674,1979-08-01,0.007426693587440058
1675,1979-09-01,0.007429569436051704
1676,1979-10-01,0.007432425787192922
1677,1979-11-01,0.00743526364826583
1678,1979-12-01,0.007438083929183256
1679,1980-01-01,0.007440637273019937
1680,1980-02-01,0.007442414551986268
1681,1980-03-01,0.007444170088138976
1682,1980-04-01,0.007445906775046836
1683,1980-05-01,0.0074476271807766324
1684,1980-06-01,0.007449333356854678
1685,1980-07-01,0.007451026833549337
1686,1980-08-01,0.007452708722759906
1687,1980-09-01,0.007454379848824658
1688,1980-10-01,0.007456040857619614
1689,1980-11-01,0.007457692287422605
1690,1980-12-01,0.007459334606034563
1691,1981-01-01,0.007460968226164211
1692,1981-02-01,0.0074623416700505055
1693,1981-03-01,0.0074633632294089
1694,1981-04-01,0.007464374237853863
1695,1981-05-01,0.007465376622357448
1696,1981-06-01,0.007466372088342288
1697,1981-07-01,0.007467361964384863
1698,1981-08-01,0.007468347186644521
1699,1981-09-01,0.00746932837051415
1700,1981-10-01,0.007470305909951569
1701,1981-11-01,0.0074712800641611
1702,1981-12-01,0.0074722510160198825
1703,1982-01-01,0.007473218903823556
1704,1982-02-01,0.007474032189830895
1705,1982-03-01,0.007473450682313384
1706,1982-04-01,0.0074728549692075034
1707,1982-05-01,0.007472248743157462
1708,1982-06-01,0.007471635475544803
1709,1982-07-01,0.0074710179849229
1710,1982-08-01,0.007470398318020786
1711,1982-09-01,0.0074697778522044445
1712,1982-10-01,0.007469157490325874
1713,1982-11-01,0.007468537848384076
1714,1982-12-01,0.007467919389143957
1715,1983-01-01,0.007467302496909912
1716,1983-02-01,0.007466753563055887
1717,1983-03-01,0.0074646851428621895
1718,1983-04-01,0.007462604818657787
1719,1983-05-01,0.007460516090661356
1720,1983-06-01,0.007458422462017945
1721,1983-07-01,0.0074563269317972965
1722,1983-08-01,0.00745423178648174
1723,1983-09-01,0.007452138636376861
1724,1983-10-01,0.007450048579680934
1725,1983-11-01,0.007447962387069544
1726,1983-12-01,0.007445880646005525
1727,1984-01-01,0.007443803848755795
1728,1984-02-01,0.007442016712750324
1729,1984-03-01,0.007438659973244672
1730,1984-04-01,0.007435295569392317
1731,1984-05-01,0.0074319263862231266
1732,1984-06-01,0.007428555412446177
1733,1984-07-01,0.007425185292096271
1734,1984-08-01,0.00742181811426104
1735,1984-09-01,0.007418455412835312
1736,1984-10-01,0.007415098285778664
1737,1984-11-01,0.007411747543472497
1738,1984-12-01,0.0074084038306523005
1739,1985-01-01,0.007405067703856065
1740,1985-02-01,0.007402100763333542
1741,1985-03-01,0.007398980605474764
1742,1985-04-01,0.007395872868971384
1743,1985-05-01,0.007392776946278399
1744,1985-06-01,0.007389692238082899
1745,1985-07-01,0.007386618278541693
1746,1985-08-01,0.007383554776598444
1747,1985-09-01,0.007380501595232623
1748,1985-10-01,0.007377458701681674
1749,1985-11-01,0.007374426116443051
1750,1985-12-01,0.007371403875914077
1751,1986-01-01,0.007368392011733306
1752,1986-02-01,0.007365722702377886
1753,1986-03-01,0.007364213250375721
1754,1986-04-01,0.007362736256714476
