Months.Since.1Jan1840,Year.Month.Day,tcb.gm-2
1451,1961-01-01,0.1094695641062462
1452,1961-02-01,0.1094695819281156
1453,1961-03-01,0.10946959971877802
1454,1961-04-01,0.10946961747827823
1455,1961-05-01,0.10946963520666093
1456,1961-06-01,0.10946965290397077
1457,1961-07-01,0.10946967057025235
1458,1961-08-01,0.10946968820555017
1459,1961-09-01,0.10946970580990871
1460,1961-10-01,0.1094697233833724
1461,1961-11-01,0.10946974092598552
1462,1961-12-01,0.1094697584377924
1463,1962-01-01,0.10946977591883728
1464,1962-02-01,0.10946979336916428
1465,1962-03-01,0.10946981078881753
1466,1962-04-01,0.10946982817784108
1467,1962-05-01,0.10946984553627889
1468,1962-06-01,0.1094698628641749
1469,1962-07-01,0.10946988016157298
1470,1962-08-01,0.10946989742851693
1471,1962-09-01,0.10946991466505049
1472,1962-10-01,0.10946993187121734
1473,1962-11-01,0.10946994904706113
1474,1962-12-01,0.1094699661926254
1475,1963-01-01,0.10946998330795368
1476,1963-02-01,0.10944659451156497
1477,1963-03-01,0.10943810071179386
1478,1963-04-01,0.10942979325970802
1479,1963-05-01,0.10942167080550756
1480,1963-06-01,0.10941372796567346
1481,1963-07-01,0.10940595786482112
1482,1963-08-01,0.10939835326751235
1483,1963-09-01,0.10939090690651238
1484,1963-10-01,0.10938361151172593
1485,1963-11-01,0.10937645978315141
1486,1963-12-01,0.10936944437831064
1487,1964-01-01,0.10936239188568798
1488,1964-02-01,0.10936850865051154
1489,1964-03-01,0.109374792255126
1490,1964-04-01,0.10938121306079317
1491,1964-05-01,0.1093877439982784
1492,1964-06-01,0.10939436135898638
1493,1964-07-01,0.1094010447946629
1494,1964-08-01,0.10940777707400445
1495,1964-09-01,0.10941454377432824
1496,1964-10-01,0.10942133294972943
1497,1964-11-01,0.10942813478862581
1498,1964-12-01,0.10943494127419563
1499,1965-01-01,0.1094614743558452
1500,1965-02-01,0.1094906186022629
1501,1965-03-01,0.10951964602593055
1502,1965-04-01,0.1095485497023328
1503,1965-05-01,0.10957732881818544
1504,1965-06-01,0.10960598669733179
1505,1965-07-01,0.10963452895269374
1506,1965-08-01,0.10966296207320649
1507,1965-09-01,0.109691292469625
1508,1965-10-01,0.10971952593019761
1509,1965-11-01,0.10974766740968672
1510,1965-12-01,0.10977572105536962
1511,1966-01-01,0.10980369036848785
1512,1966-02-01,0.1098672945723082
1513,1966-03-01,0.1099267234246891
1514,1966-04-01,0.10998477489678922
1515,1966-05-01,0.1100410109740134
1516,1966-06-01,0.11009522093301347
1517,1966-07-01,0.11014736373577458
1518,1966-08-01,0.11019749488189921
1519,1966-09-01,0.11024571270986067
1520,1966-10-01,0.11029212954543727
1521,1966-11-01,0.11033685989430736
1522,1966-12-01,0.11038001684406
1523,1967-01-01,0.11042171116818583
1524,1967-02-01,0.11046956436440504
1525,1967-03-01,0.1105118809238898
1526,1967-04-01,0.1105524891223406
1527,1967-05-01,0.11059147622054984
1528,1967-06-01,0.11062895111040283
1529,1967-07-01,0.11066503144363826
1530,1967-08-01,0.11069983373395445
