Months.Since.1Jan1840,Year.Month.Day,1to10g.gm-2,10to100g.gm-2,100gto1kg.gm-2,1to10kg.gm-2,10to100kg.gm-2,GT100kg.gm-2
1451,1961-01-01,7.308148963859409e-8,1.8471136604099805e-6,4.4874606321986146e-5,0.004341763518211933,0.05973917891611574,0.045341822840320394
1452,1961-02-01,7.308148964873334e-8,1.8471137164976095e-6,4.4874613991571254e-5,0.004341748997242546,0.0597390696353972,0.04534196445615204
1453,1961-03-01,7.30814896588634e-8,1.8471137725407552e-6,4.487462165646226e-5,0.0043417344894979525,0.0597389604319548,0.045342105950280515
1454,1961-04-01,7.308148966898431e-8,1.8471138285394544e-6,4.4874629316661836e-5,0.00434171999496556,0.059738851305734704,0.045342247322817
1455,1961-05-01,7.308148967909604e-8,1.8471138844937457e-6,4.487463697217261e-5,0.004341705513632796,0.059738742256683144,0.04534238857387255
1456,1961-06-01,7.308148968919863e-8,1.8471139404036656e-6,4.487464462299723e-5,0.004341691045487092,0.05973863328474635,0.04534252970355815
1457,1961-07-01,7.308148969929208e-8,1.8471139962692519e-6,4.4874652269138344e-5,0.0043416765905158975,0.05973852438987061,0.04534267071198464
1458,1961-08-01,7.308148970937641e-8,1.8471140520905421e-6,4.487465991059859e-5,0.004341662148706673,0.05973841557200223,0.045342811599262775
1459,1961-09-01,7.30814897194516e-8,1.8471141078675742e-6,4.48746675473806e-5,0.0043416477200468925,0.05973830683108758,0.04534295236550319
1460,1961-10-01,7.308148972951764e-8,1.8471141636003849e-6,4.4874675179487004e-5,0.00434163330452404,0.059738198167073014,0.04534309301081642
1461,1961-11-01,7.308148973957463e-8,1.8471142192890118e-6,4.4874682806920465e-5,0.004341618902125614,0.059738089579904965,0.04534323353531289
1462,1961-12-01,7.30814897496225e-8,1.8471142749334917e-6,4.48746904296836e-5,0.004341604512839127,0.0597379810695299,0.04534337393910293
1463,1962-01-01,7.308148975966128e-8,1.8471143305338622e-6,4.487469804777905e-5,0.0043415901366520996,0.059737872635894265,0.04534351422229674
1464,1962-02-01,7.308148976969097e-8,1.8471143860901605e-6,4.4874705661209436e-5,0.004341575773552068,0.0597377642789446,0.04534365438500444
1465,1962-03-01,7.308148977971161e-8,1.8471144416024236e-6,4.487471326997741e-5,0.004341561423526582,0.059737655998627466,0.045343794427336034
1466,1962-04-01,7.308148978972318e-8,1.8471144970706894e-6,4.48747208740856e-5,0.0043415470865632005,0.059737547794889434,0.045343934349401406
